setup,MAE_MWh,NMAE_port_%,cov80_%,cov95_%,NLL_normal,NLL_t,CRPS_normal,CRPS_t,fuel_cost_억,cost_per_hour_만
A,3.092842925466018,4.031309165388873,86.0753221010902,97.86917740336968,9.585449897053001,9.551543490298723,2265.4392176299725,2176.915196493413,23.0946342867657,114.44318278872993
B,2.6815304137539835,3.4951914451351014,85.82755203171457,96.72943508424183,9.451932575671615,9.47792921472806,1930.180441481208,2003.7781363296147,14.844626115877176,73.56108085172039
C,2.9461414191826503,3.840093788110252,83.74628344895937,98.16650148662042,9.575960090698738,9.572598046038364,2143.6576769073,2130.5902699889457,18.85202710529991,93.41936127502433
D,2.6815304137539835,3.4951914451351014,87.21506442021804,98.7611496531219,9.516948466332119,9.490594091984528,1991.6077201621993,2027.7754213981243,18.753473023374255,92.93098624070493
