site,n,nmae,bias,cov80,cov95
경상대,4060.0,3.348629549985839,0.21853840072338787,93.89162561576356,97.9064039408867
고흥만수상,4064.0,4.644241450797545,-0.044422187403235835,87.81988188976378,95.86614173228347
광양항세방,4064.0,8.096586542446822,6.350851236974571,71.35826771653542,82.99704724409449
구미,4055.0,5.231675217426945,1.8736999906057206,83.7731196054254,94.72256473489519
삼천포,4063.0,4.951979422684733,-0.7218929842441546,88.16145705143981,95.66822544917548
영흥,4022.0,4.464592309793231,-0.07954946214326433,87.74241670810542,94.15713575335654
예천,4053.0,7.80286287482508,0.04342570240856827,81.54453491241055,92.12928694793979
