datetime_kst,고흥만수상,삼천포,영흥,광양항세방,예천,영동,탑선,구미,경상대,여수,창원
2024-03-01 07:00,,,,,,,,,,,
2024-03-01 08:00,199.8,212.2,,165.7,195.6,201.6,181.7,201.8,205.9,199.8,209.5
2024-03-01 09:00,399.8,415.3,324.7,341.9,380.9,388.5,320.3,389.4,402.8,398.1,396.4
2024-03-01 10:00,564.0,587.3,468.2,490.5,530.2,532.4,508.9,541.9,559.5,555.1,552.3
2024-03-01 11:00,665.4,694.9,571.4,604.8,618.6,628.1,529.2,627.2,662.0,659.9,657.3
2024-03-01 12:00,714.6,731.0,624.1,657.2,649.0,652.4,598.7,661.6,693.8,699.8,709.9
2024-03-01 13:00,716.1,736.3,631.1,666.6,644.4,647.1,593.9,660.0,695.9,695.2,688.3
2024-03-01 14:00,708.6,710.3,602.6,635.2,637.1,642.3,586.5,650.9,674.7,686.3,693.7
2024-03-01 15:00,632.1,624.9,525.7,557.7,551.6,569.2,459.5,574.1,593.8,608.8,576.7
2024-03-01 16:00,497.7,479.5,406.2,424.2,419.4,440.9,348.2,443.5,471.2,473.5,436.2
2024-03-01 17:00,305.5,298.3,243.8,223.6,260.6,268.4,296.8,248.8,265.0,296.9,268.8
2024-03-01 18:00,,,,,,,,,,,
2024-03-02 07:00,,,,,,,,,,,
2024-03-02 08:00,210.8,229.3,149.6,182.4,203.2,209.5,195.5,208.6,218.6,218.0,224.4
2024-03-02 09:00,414.4,433.4,313.8,364.9,383.6,394.9,388.3,394.4,414.1,414.3,420.7
2024-03-02 10:00,574.4,590.5,486.2,514.6,526.9,538.8,542.1,540.5,567.3,566.8,575.8
2024-03-02 11:00,681.3,709.0,566.6,631.1,614.5,625.5,637.2,633.6,666.2,660.6,657.4
2024-03-02 12:00,721.7,751.3,602.3,681.7,651.3,659.8,675.0,667.4,700.6,693.7,685.8
2024-03-02 13:00,722.7,743.4,556.0,693.2,648.3,652.5,649.8,664.1,698.4,691.8,692.0
2024-03-02 14:00,719.2,727.2,523.4,653.5,633.3,642.2,671.9,657.3,690.5,694.9,686.4
2024-03-02 15:00,,,,,,,,,,,
2024-03-02 16:00,502.8,486.6,384.8,429.6,420.7,418.8,464.0,447.8,475.8,480.7,474.7
2024-03-02 17:00,197.7,290.3,235.9,252.8,262.0,227.0,291.9,273.2,291.6,294.8,285.5
2024-03-02 18:00,,,,,,,,,,,
2024-03-03 07:00,,,,,,,,,,,
2024-03-03 08:00,121.2,220.3,129.7,163.0,191.0,197.7,187.4,187.6,209.4,216.3,211.4
2024-03-03 09:00,210.6,412.0,280.5,325.5,370.5,383.8,367.8,343.0,397.9,392.3,402.5
2024-03-03 10:00,409.3,569.8,394.9,472.4,491.9,539.0,519.2,497.0,547.1,551.7,550.0
2024-03-03 11:00,574.6,684.4,379.6,573.0,577.3,626.4,609.8,520.9,642.5,643.9,621.9
2024-03-03 12:00,76.3,721.1,573.2,594.8,530.3,637.4,586.3,417.9,550.3,641.8,416.6
2024-03-03 13:00,677.8,542.3,413.0,671.0,519.0,569.9,541.5,182.6,559.3,403.0,540.3
2024-03-03 14:00,378.2,659.3,389.0,575.0,221.3,457.7,431.2,370.1,489.4,566.7,621.7
2024-03-03 15:00,195.5,473.3,311.5,204.9,477.3,460.0,334.0,436.6,297.5,542.5,93.4
2024-03-03 16:00,463.0,435.2,362.5,198.7,219.7,329.7,380.5,435.9,375.5,212.8,249.6
2024-03-03 17:00,206.8,261.1,213.6,188.3,207.9,217.6,224.4,164.6,120.1,229.1,210.7
2024-03-03 18:00,,,,,,,,,,,
2024-03-04 07:00,,,,,,,,,,,
2024-03-04 08:00,151.2,180.9,151.6,150.7,200.9,204.2,137.5,200.9,180.8,175.1,203.8
2024-03-04 09:00,373.8,383.8,324.2,365.6,375.3,384.2,303.6,382.1,370.2,332.7,396.7
2024-03-04 10:00,509.0,579.2,470.9,459.0,519.5,534.1,519.1,522.3,549.6,508.7,550.3
2024-03-04 11:00,661.7,679.8,577.8,573.0,594.2,629.5,618.4,625.0,663.5,654.3,660.2
2024-03-04 12:00,662.5,722.9,616.0,619.0,668.8,668.3,648.1,666.8,685.5,694.6,693.0
2024-03-04 13:00,376.0,737.3,690.1,637.1,644.9,663.7,592.9,669.3,693.3,571.7,697.5
2024-03-04 14:00,455.6,356.7,600.4,430.3,527.7,643.6,391.4,611.3,497.1,312.6,575.9
2024-03-04 15:00,400.4,392.3,386.5,238.7,461.0,544.7,298.9,547.3,336.0,279.1,327.5
2024-03-04 16:00,209.5,241.3,334.8,179.7,394.3,300.9,170.5,177.6,248.6,276.1,247.9
2024-03-04 17:00,0.0,190.0,236.4,162.6,191.5,211.7,183.6,132.4,192.6,129.8,143.2
2024-03-04 18:00,,,,,,,,,,,
2024-03-05 07:00,,,,,,,,,,,
2024-03-05 08:00,103.1,87.0,130.3,131.1,120.4,139.2,139.6,127.7,162.0,147.2,103.0
2024-03-05 09:00,197.6,155.9,231.1,162.8,226.9,263.9,167.2,220.1,0.0,161.5,0.0
2024-03-05 10:00,137.1,112.0,146.0,99.0,283.3,425.7,208.1,137.1,138.5,197.7,157.8
2024-03-05 11:00,69.7,176.2,283.7,201.5,157.8,266.8,196.8,97.1,116.3,190.7,0.0
2024-03-05 12:00,0.0,125.7,291.4,119.3,236.4,204.5,137.3,104.1,173.4,123.2,120.1
2024-03-05 13:00,117.7,94.6,283.9,0.0,154.1,292.2,85.4,150.6,0.0,114.6,148.3
2024-03-05 14:00,171.4,110.9,220.5,109.0,229.5,124.9,127.7,108.1,146.7,129.3,117.3
2024-03-05 15:00,140.2,180.6,145.1,138.3,149.9,224.1,116.9,0.0,173.4,156.4,181.8
2024-03-05 16:00,162.4,177.0,270.7,135.2,179.1,158.9,212.4,204.2,153.6,156.7,162.8
2024-03-05 17:00,112.2,104.8,142.8,153.0,178.7,105.1,155.7,151.7,119.4,0.0,112.5
2024-03-05 18:00,,,,,,,,,,,
2024-03-06 07:00,,,,,,,,,,,
2024-03-06 08:00,173.8,246.9,141.5,180.2,223.1,177.6,210.4,220.6,211.7,158.0,231.6
2024-03-06 09:00,239.4,425.4,297.7,351.8,411.7,271.2,398.4,399.5,412.4,391.3,384.3
2024-03-06 10:00,484.4,575.2,451.0,511.6,549.2,363.4,561.7,557.7,536.9,569.5,510.3
2024-03-06 11:00,694.5,696.2,564.8,618.3,628.9,498.5,660.7,608.4,661.0,671.9,487.5
2024-03-06 12:00,739.6,740.7,597.5,644.5,563.6,492.6,566.8,399.5,618.7,703.6,573.9
2024-03-06 13:00,600.1,491.3,634.1,634.4,359.3,440.3,675.3,656.6,645.0,709.1,234.2
2024-03-06 14:00,382.1,715.8,643.3,232.8,264.3,484.7,600.8,464.2,459.0,573.3,335.6
2024-03-06 15:00,262.0,252.8,560.2,176.6,184.5,421.2,496.0,227.8,361.7,268.6,249.9
2024-03-06 16:00,276.9,220.8,409.8,314.4,177.0,228.2,419.7,159.7,297.0,157.6,288.7
2024-03-06 17:00,186.1,218.4,251.7,223.5,157.2,160.2,286.3,158.5,217.0,159.3,286.4
2024-03-06 18:00,,,,,,,,,,,
2024-03-07 07:00,,,,,,,,,,,
2024-03-07 08:00,235.5,151.2,160.5,190.3,139.3,129.2,209.7,149.4,133.8,178.1,164.5
2024-03-07 09:00,424.5,281.2,330.4,225.3,161.0,291.6,407.0,182.8,315.2,332.0,310.3
2024-03-07 10:00,,,,,,,,,,,
