datetime_kst,고흥만수상,삼천포,영흥,광양항세방,예천,영동,탑선,구미,경상대,여수,창원
2022-01-01 07:00,,,,,,,,,,,
2022-01-01 08:00,,,,,,,,,,,
2022-01-01 09:00,239.7,256.9,155.3,209.9,208.8,217.5,219.6,224.1,240.4,235.5,234.4
2022-01-01 10:00,385.0,405.7,283.3,343.8,320.3,345.9,343.3,337.0,374.6,372.9,372.7
2022-01-01 11:00,481.1,503.3,356.0,440.9,402.2,428.2,428.8,410.8,467.1,457.2,452.3
2022-01-01 12:00,517.2,542.4,416.8,486.4,426.2,470.4,486.2,459.2,498.7,492.0,482.6
2022-01-01 13:00,520.8,546.2,422.4,488.7,426.8,473.8,471.5,468.9,506.1,495.6,484.2
2022-01-01 14:00,496.1,482.5,394.8,443.5,388.9,431.7,497.1,407.3,472.9,470.7,452.3
2022-01-01 15:00,405.4,398.7,313.5,353.3,341.0,351.3,375.7,337.3,377.7,386.7,366.2
2022-01-01 16:00,273.3,250.7,153.8,220.7,193.1,221.5,241.7,234.2,243.8,268.8,250.2
2022-01-01 17:00,,,,,,,,,,,
2022-01-01 18:00,,,,,,,,,,,
2022-01-02 07:00,,,,,,,,,,,
2022-01-02 08:00,,,,,,,,,,,
2022-01-02 09:00,238.3,254.8,143.1,205.7,156.6,151.2,127.9,221.0,238.0,236.3,234.1
2022-01-02 10:00,383.7,402.7,271.5,325.0,120.6,153.9,348.0,328.6,374.5,369.9,363.6
2022-01-02 11:00,471.7,495.6,341.9,430.4,162.9,253.6,106.3,92.8,463.5,456.2,452.0
2022-01-02 12:00,510.6,534.0,449.8,306.0,402.9,289.5,336.8,440.1,494.4,481.7,482.8
2022-01-02 13:00,419.9,523.9,430.8,159.9,420.3,462.8,373.6,446.1,478.6,416.9,388.4
2022-01-02 14:00,239.0,491.0,405.2,231.3,376.1,425.7,135.8,428.2,467.9,430.6,456.7
2022-01-02 15:00,382.8,316.1,325.3,332.7,319.7,347.5,370.2,347.9,381.7,380.5,366.2
2022-01-02 16:00,266.1,249.1,207.5,214.4,207.2,221.4,256.8,225.4,248.7,250.5,248.1
2022-01-02 17:00,,,,,,,,,,,
2022-01-02 18:00,,,,,,,,,,,
2022-01-03 07:00,,,,,,,,,,,
2022-01-03 08:00,,,,,,,,,,,
2022-01-03 09:00,239.7,255.3,154.6,205.9,209.7,214.6,221.2,223.5,238.4,237.9,233.9
2022-01-03 10:00,384.0,402.1,273.7,341.8,326.1,344.0,363.6,352.3,377.0,373.9,367.5
