regime,n,MAE_cf,bias_cf,NMAE_%,MAE_MWh,cov80,cov95
clear,7646,0.07687955,-0.00029314597,5.114105378482605,0.5115263911300557,87.66675385822651,94.36306565524457
cloudy,15044,0.049954116,0.0028343627,4.884304720268509,0.4603015195898658,82.23876628556235,93.97766551449082
transition,9753,0.0667317,-0.0005362644,5.471846995615745,0.5360750997080367,79.20639803137496,91.2847329026966
