site,n,MAE_cf,bias_cf,NMAE_%,MAE_MWh,cov80,cov95
예천,4053,0.087972075,0.023105187,8.797207435360582,0.17594414870721162,75.69701455711818,91.63582531458178
창원,4062,0.082609564,0.0049923416,8.260957437338938,0.006360937226750982,88.28163466272771,97.88281634662728
광양항세방,4064,0.08088989,-0.062183347,8.088988049825648,0.24210341233128166,65.94488188976378,80.41338582677166
삼천포,4063,0.05407663,0.017387629,5.407663254633397,0.07246268761208753,84.51882845188284,94.60989416687177
구미,4055,0.050686784,-0.004290393,5.068678576919094,0.050281291483037414,83.69913686806412,94.18002466091245
고흥만수상,4064,0.04905595,0.011714745,4.905594753949489,3.114120605754675,86.63877952755905,95.3494094488189
영흥,4022,0.047436766,0.00790667,4.743676934980674,0.2605701740384884,86.72302337145699,95.12680258577822
경상대,4060,0.03791017,0.010172354,3.791017249589866,0.034308706108788285,89.38423645320196,96.89655172413794
