bin,n,residual_mean,residual_std,abs_error_mean
"(-0.001, 0.1]",8993,-0.034724932,0.086623,0.043986913
"(0.1, 0.2]",5244,-0.028786445,0.10430973,0.06378592
"(0.2, 0.3]",3908,-0.009554091,0.095841564,0.06582366
"(0.3, 0.4]",3847,0.005795917,0.08780457,0.06669953
"(0.4, 0.5]",3427,0.030153647,0.08266696,0.06705276
"(0.5, 0.6]",3395,0.044980578,0.080243446,0.067662075
"(0.6, 0.7]",2581,0.06628083,0.07591635,0.076120906
"(0.7, 0.8]",956,0.08344891,0.068622805,0.08759298
"(0.8, 0.9]",92,0.07122733,0.05173058,0.07126026
