season,n,MAE_cf,bias_cf,NMAE_%,MAE_MWh,cov80,cov95
autumn,7411,0.06957189,0.009185628,5.3207017661452,0.5159813752911658,80.13763324787479,91.32370800161922
spring,8877,0.061707333,0.0032351601,5.666529208104829,0.5470911708638195,87.99143854905937,95.85445533400923
summer,9509,0.058305487,-0.0069862115,5.277073004532614,0.5083695887958662,80.76559049321695,92.67010200862342
winter,6646,0.05602841,0.00072333415,3.945477826036295,0.3836434816193172,80.80048149262714,92.79265723743605
