bin,n,MAE_cf,bias_cf,NMAE_%,MAE_MWh,cov80,cov95
"(19.999, 30.0]",2612,0.09375405,-0.0075542615,9.319140269986407,0.9098427921065313,83.49923430321593,92.22817764165391
"(30.0, 40.0]",3001,0.096090384,0.0026651197,9.020133236877706,0.8879594391227369,84.43852049316895,93.03565478173942
"(40.0, 50.0]",4650,0.0752698,0.0035876986,5.958377641853433,0.5711697860326168,83.24731182795699,93.0752688172043
"(50.0, 60.0]",6588,0.06470003,0.0025362584,4.667046665191847,0.46786464155721125,83.5003035822708,93.5792349726776
"(60.0, 70.0]",6139,0.051441193,0.00040523655,3.7121649156838403,0.3398437758900486,83.14057664114677,94.07069555302166
"(70.0, 80.0]",5343,0.033208843,0.0014263673,2.6334835077859404,0.2510273150250976,78.51394347744713,91.78364214860565
"(80.0, 90.0]",2418,0.021939218,-0.0034169424,1.7914117265173428,0.1721213131731025,79.65260545905707,93.34160463192721
