bin,n,MAE_cf,bias_cf,NMAE_%,MAE_MWh,cov80,cov95
"(-0.001, 0.1]",8993,0.043986913,-0.034724932,3.9287563007486503,0.3195527527673034,76.37051039697542,90.83731791393306
"(0.1, 0.25]",7263,0.06399727,-0.023199044,4.403756529196443,0.39804043086657115,77.35095690486024,89.16425719399697
"(0.25, 0.5]",9163,0.06693255,0.011550211,5.631560069955656,0.47291545944529906,86.44548728582342,95.26355996944233
"(0.5, 0.75]",6644,0.072757795,0.05688944,5.950434566007855,0.7567192266874334,90.89403973509934,97.89283564118001
"(0.75, 1.0]",380,0.08703382,0.08456973,6.9165115964768455,2.469933796615742,93.15789473684211,99.47368421052632
