month,n,MAE_cf,bias_cf,NMAE_%,MAE_MWh,cov80,cov95
1,2217,0.05333167,0.0011542497,4.174254604907074,0.40550693744630945,81.82228236355435,93.41452413170953
2,2215,0.052186266,-0.00030322408,4.067709099188021,0.39665298396379517,81.8058690744921,92.7765237020316
3,2707,0.055495862,-0.00078115694,5.731979859129869,0.5515254272371929,85.40820096047284,94.75434059844847
4,2962,0.06381511,0.009988533,5.29393534776428,0.5124027726003777,90.68197164078326,96.52261985145172
5,3208,0.065002605,0.00038873494,5.9562148438531075,0.575377799184765,87.68703241895261,96.16583541147132
6,3120,0.051047925,0.00064185093,4.56710711392889,0.4411882560894232,87.21153846153847,96.41025641025641
7,3216,0.051867694,-0.001261261,4.971896011264787,0.48029136955819257,76.55472636815921,91.88432835820896
8,3173,0.071966864,-0.020289395,6.29286653513035,0.602887493338085,78.69524109675386,89.78884336589978
9,2659,0.07715871,0.0025919513,6.785311850946139,0.6585267128743182,79.5035727717187,90.25949605114705
10,2581,0.06741994,0.007908653,4.939611637860429,0.4809757649642686,78.5741960480434,90.39132119333591
11,2171,0.062838055,0.018779568,3.972566458041076,0.3830110517628931,82.77291570704745,93.73560571165362
12,2214,0.06257268,0.0013188558,3.5933029963719205,0.3487350221516297,78.77145438121048,92.18608852755195
