datetime_kst,actual_kwh,pred_kwh,sigma_kwh2,cap_kw,n_sites,sigma_kwh,residual_kwh,abs_err_kwh,nmae_pct
2025-01-01 09:00:00,6175.862061517313,5467.109389260411,1639834.4564971146,71788,7,1280.5602119764283,708.7526722569019,708.7526722569019,0.9872857194195435
2025-01-01 10:00:00,22270.99001431465,19473.50647082925,4212828.129496926,77281,8,2052.5175101559857,2797.483543485403,2797.483543485403,3.619885280321687
2025-01-01 11:00:00,38937.038755357265,37096.80676454306,9251068.346133513,77281,8,3041.55689510052,1840.231990814209,1840.231990814209,2.3812217631943287
2025-01-01 12:00:00,46182.20411622524,45566.03421506286,3551025.694292572,77281,8,1884.4165394871093,616.1699011623859,616.1699011623859,0.7973109835048536
2025-01-01 13:00:00,48871.4542170167,48646.74963796139,5221343.265973209,77281,8,2285.0258786222116,224.7045790553093,224.7045790553093,0.29076303238222756
2025-01-01 14:00:00,46762.05434784293,46656.35591208935,4075147.382642318,77281,8,2018.6994285039857,105.69843575358391,105.69843575358391,0.13677156837202406
2025-01-01 15:00:00,39536.00116023421,40692.262218773365,4320304.908099069,77281,8,2078.5343172772177,-1156.2610585391521,1156.2610585391521,1.496177661442207
2025-01-01 16:00:00,25089.561776787043,26361.560910239816,3688085.912277156,77281,8,1920.4389894701565,-1271.999133452773,1271.999133452773,1.6459403132112334
2025-01-01 17:00:00,8795.645217336714,9292.795540973544,1490566.0919494345,77281,8,1220.8874198505914,-497.15032363682985,497.15032363682985,0.6433021358895846
2025-01-02 09:00:00,4954.089113384485,5246.972507011145,2131850.341640024,71788,7,1460.0857309213127,-292.8833936266601,292.8833936266601,0.4079837767129048
2025-01-02 10:00:00,19463.529316946864,19516.439330503345,7955981.679504621,77281,8,2820.634978068701,-52.91001355648041,52.91001355648041,0.06846445252582188
2025-01-02 11:00:00,34994.57888841629,37855.39716607332,11023839.024908923,77281,8,3320.2167135458076,-2860.818277657032,2860.818277657032,3.7018391036050673
2025-01-02 12:00:00,43451.68816024065,46047.04365602136,6220752.191773724,77281,8,2494.1435788209396,-2595.3554957807064,2595.3554957807064,3.3583358080002927
