site,n,nmae,bias,cov80,cov95
경상대,4060.0,3.7088318647681437,-0.6873969710030561,94.48275862068965,98.00492610837438
고흥만수상,4064.0,5.7518557654203315,-1.3240584776499382,89.34547244094489,96.9734251968504
광양항세방,4064.0,7.705636073560313,5.70583862601894,71.13681102362204,80.33956692913385
구미,4055.0,5.195005338429499,1.382029717373882,85.64734895191121,95.33908754623921
삼천포,4063.0,5.597095349812736,-1.516482744904828,86.24169333005169,95.39748953974896
영흥,4022.0,4.839307836513139,-0.13445639927651082,86.77274987568374,94.25658876181005
예천,4053.0,8.696207066392917,-1.8027769071854813,83.46903528250678,94.44855662472243
창원,4062.0,7.633848734534057,-1.184764586542451,96.30723781388478,99.43377646479567
