발전구분, 호기, 일자, 1시 발전량(MWh), 2시 발전량(MWh),3시 발전량(MWh),4시 발전량(MWh),5시 발전량(MWh),6시 발전량(MWh),7시 발전량(MWh),8시 발전량(MWh),9시 발전량(MWh),10시 발전량(MWh),11시 발전량(MWh),12시 발전량(MWh),13시 발전량(MWh),14시 발전량(MWh),15시 발전량(MWh),16시 발전량(MWh),17시 발전량(MWh),18시 발전량(MWh),19시 발전량(MWh),20시 발전량(MWh),21시 발전량(MWh),22시 발전량(MWh),23시 발전량(MWh),24시 발전량(MWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
분당화력, CG1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG2, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG3, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG4, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG5, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG6, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 44035, 78135, 76508, 76212, 76673, 75600, 75243, 75499, 74829, 74364, 74323, 74123, 77181, 78022, 78493, 78760, 1188000, 49500, 78760, 44035, 78760, 0, 
분당화력, CG7, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 38293, 80062, 79069, 78560, 77748, 77244, 77804, 77413, 76517, 76157, 76118, 75879, 79652, 81164, 81527, 81791, 1215000, 50625, 81791, 38293, 81791, 0, 
분당화력, CG8, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55443, 75100, 75042, 55415, 0, 0, 0, 0, 261000, 10875, 75100, 55415, 75100, 0, 
분당화력, CS1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CS2, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 8341, 48334, 48167, 48382, 48362, 48323, 48696, 48758, 60094, 69573, 69144, 62955, 49053, 50071, 50309, 50438, 809000, 33708, 69573, 8341, 69573, 0, 
분당화력, CG1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG2, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG3, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG4, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG5, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG6, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 20856, 59555, 70058, 69804, 69721, 69807, 70138, 70213, 69993, 69866, 69876, 69977, 74875, 75221, 75213, 75067, 64720, 40, 1145000, 47708, 75221, 40, 75221, 0, 
분당화력, CG7, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 15736, 59386, 70066, 70068, 70037, 70067, 70041, 70115, 69963, 70032, 70048, 70043, 74655, 75086, 75086, 74923, 53649, 0, 1129000, 47042, 75086, 15736, 75086, 0, 
분당화력, CG8, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 1956, 26151, 23683, 17595, 0, 0, 45107, 89664, 90107, 40736, 0, 0, 0, 0, 0, 0, 335000, 13958, 90107, 1956, 90107, 0, 
분당화력, CS1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CS2, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 19784, 38098, 38025, 39259, 40969, 41995, 42372, 52085, 70927, 70591, 54242, 45412, 45585, 45438, 45065, 30153, 0, 720000, 30000, 70927, 19784, 70927, 0, 
분당화력, CG1, 2025-10-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44709, 58203, 11089, 0, 0, 0, 0, 114000, 4750, 58203, 11089, 58203, 0, 
분당화력, CG2, 2025-10-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34886, 58022, 6092, 0, 0, 0, 0, 99000, 4125, 58022, 6092, 58022, 0, 
분당화력, CG3, 2025-10-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG4, 2025-10-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5898, 58441, 4660, 0, 0, 0, 0, 69000, 2875, 58441, 4660, 58441, 0, 
분당화력, CG5, 2025-10-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20353, 57790, 857, 0, 0, 0, 0, 79000, 3292, 57790, 857, 57790, 0, 
분당화력, CG6, 2025-10-29 00:00:00, 81648, 81678, 81667, 81765, 81748, 81630, 81913, 81784, 81634, 80696, 80880, 79980, 80294, 81315, 80178, 80070, 78928, 79112, 79917, 79957, 79890, 79943, 81053, 60318, 1918000, 79917, 81913, 60318, 81913, 60318, 
분당화력, CG7, 2025-10-29 00:00:00, 82861, 82906, 82871, 82961, 82941, 82833, 83080, 82987, 82857, 82684, 83110, 82234, 82512, 83259, 80984, 80819, 80420, 81475, 82700, 82742, 82658, 82717, 83785, 51604, 1950000, 81250, 83785, 51604, 83785, 51604, 
분당화력, CG8, 2025-10-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CS1, 2025-10-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CS2, 2025-10-29 00:00:00, 49106, 49196, 48976, 48756, 48578, 48483, 48485, 48408, 48779, 49924, 51214, 51166, 52144, 53182, 51648, 51628, 50852, 50797, 50967, 50644, 50315, 50323, 51023, 27404, 1182000, 49250, 53182, 27404, 53182, 27404, 
분당화력, CG1, 2025-10-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 3298, 47885, 0, 0, 0, 0, 310, 47651, 56917, 60614, 66536, 44790, 0, 0, 0, 0, 0, 328000, 13667, 66536, 310, 66536, 0, 
분당화력, CG2, 2025-10-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40887, 57609, 61742, 63429, 41333, 0, 0, 0, 0, 0, 265000, 11042, 63429, 40887, 63429, 0, 
분당화력, CG3, 2025-10-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
