발전구분, 호기, 일자, 1시 발전량(MWh), 2시 발전량(MWh),3시 발전량(MWh),4시 발전량(MWh),5시 발전량(MWh),6시 발전량(MWh),7시 발전량(MWh),8시 발전량(MWh),9시 발전량(MWh),10시 발전량(MWh),11시 발전량(MWh),12시 발전량(MWh),13시 발전량(MWh),14시 발전량(MWh),15시 발전량(MWh),16시 발전량(MWh),17시 발전량(MWh),18시 발전량(MWh),19시 발전량(MWh),20시 발전량(MWh),21시 발전량(MWh),22시 발전량(MWh),23시 발전량(MWh),24시 발전량(MWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
분당화력, CG1, 2025-02-28 00:00:00, 82846, 82580, 82662, 83021, 83452, 83027, 83330, 83732, 83018, 81463, 80310, 79994, 79950, 79638, 79060, 78634, 78448, 78951, 79120, 78995, 79673, 80068, 80239, 79790, 1942000, 80917, 83732, 78448, 83732, 78448, 
분당화력, CG2, 2025-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59833, 85687, 85538, 85057, 85793, 85618, 74763, 84935, 85094, 85021, 85611, 85961, 86204, 86517, 86369, 1248000, 52000, 86517, 59833, 86517, 0, 
분당화력, CG3, 2025-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG4, 2025-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG5, 2025-02-28 00:00:00, 84578, 84356, 84641, 84844, 85341, 85066, 85518, 85941, 85468, 84506, 83606, 83156, 83115, 82865, 82298, 81729, 81669, 81838, 81864, 82101, 82394, 82645, 83218, 83242, 2006000, 83583, 85941, 81669, 85941, 81669, 
분당화력, CG6, 2025-02-28 00:00:00, 79777, 79642, 79844, 79788, 80120, 79816, 79844, 79775, 79859, 79673, 80732, 80970, 80233, 80680, 80338, 78817, 78500, 78554, 79025, 65990, 23, 0, 0, 0, 1582000, 65917, 80970, 23, 80970, 0, 
분당화력, CG7, 2025-02-28 00:00:00, 81935, 81823, 81997, 81947, 82262, 81967, 82003, 81930, 81387, 64685, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 802000, 33417, 82262, 63, 82262, 0, 
분당화력, CG8, 2025-02-28 00:00:00, 81379, 81220, 81438, 81376, 81713, 81398, 81428, 81376, 81076, 80765, 83077, 83927, 83451, 83839, 83483, 81998, 81707, 81758, 82242, 53348, 0, 0, 0, 0, 1612000, 67167, 83927, 53348, 83927, 0, 
분당화력, CS1, 2025-02-28 00:00:00, 44527, 45251, 44542, 44295, 44622, 44083, 44599, 44687, 45794, 61542, 77404, 77228, 76559, 76641, 77431, 73572, 77300, 77394, 76706, 75380, 75820, 75272, 75846, 75507, 1532000, 63833, 77431, 44083, 77431, 44083, 
분당화력, CS2, 2025-02-28 00:00:00, 72875, 72932, 72931, 72568, 72609, 71915, 71730, 71502, 71940, 66834, 50344, 51108, 50334, 50788, 50929, 50499, 50169, 49996, 49455, 32543, 0, 0, 0, 0, 1204000, 50167, 72932, 32543, 72932, 0, 
분당화력, CG1, 2025-02-27 00:00:00, 84421, 84669, 84840, 85128, 85362, 85541, 85498, 85252, 84483, 83372, 82172, 80922, 79816, 79215, 78870, 78557, 78385, 78983, 80006, 80852, 81499, 82084, 82072, 82002, 1974000, 82250, 85541, 78385, 85541, 78385, 
분당화력, CG2, 2025-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG3, 2025-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG4, 2025-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG5, 2025-02-27 00:00:00, 87047, 87375, 87616, 88005, 88041, 88220, 88366, 88289, 87615, 86469, 85035, 83658, 82464, 81923, 81491, 81076, 80904, 81280, 82341, 83167, 83819, 84451, 84241, 84107, 2037000, 84875, 88366, 80904, 88366, 80904, 
분당화력, CG6, 2025-02-27 00:00:00, 81692, 82090, 81977, 81971, 81974, 82230, 82914, 83411, 83304, 82569, 81200, 78568, 78233, 77153, 77072, 77542, 77282, 77141, 77486, 78149, 78566, 79043, 79540, 79894, 1921000, 80042, 83411, 77072, 83411, 77072, 
분당화력, CG7, 2025-02-27 00:00:00, 84025, 84423, 84321, 84289, 84302, 84530, 85912, 86747, 86657, 85784, 84374, 82029, 81700, 80635, 80542, 80270, 79732, 79583, 79908, 80100, 80660, 81340, 81829, 82309, 1986000, 82750, 86747, 79583, 86747, 79583, 
분당화력, CG8, 2025-02-27 00:00:00, 82951, 84193, 84068, 84051, 84049, 84329, 86097, 87032, 86924, 85969, 84292, 81691, 81364, 80274, 80208, 79480, 78853, 79606, 80102, 80166, 80162, 80632, 81027, 81481, 1979000, 82458, 87032, 78853, 87032, 78853, 
분당화력, CS1, 2025-02-27 00:00:00, 45368, 45435, 44826, 44780, 44803, 44772, 44835, 44681, 44612, 44953, 45023, 45086, 45412, 45131, 44733, 45074, 45205, 45231, 45356, 45177, 45071, 45047, 45077, 44315, 1080000, 45000, 45435, 44315, 45435, 44315, 
분당화력, CS2, 2025-02-27 00:00:00, 71969, 72544, 72195, 71605, 71490, 71581, 72621, 73425, 73820, 74380, 74716, 73516, 74784, 74129, 74573, 74702, 74209, 73792, 73185, 72357, 71931, 71701, 71520, 72258, 1753000, 73042, 74784, 71490, 74784, 71490, 
분당화력, CG1, 2025-02-26 00:00:00, 81729, 82085, 81871, 81968, 82068, 82184, 82540, 82530, 83687, 83278, 82703, 82104, 81651, 81540, 81167, 81126, 81419, 81900, 82766, 83125, 83468, 83897, 84356, 84838, 1980000, 82500, 84838, 81126, 84838, 81126, 
분당화력, CG2, 2025-02-26 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG3, 2025-02-26 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG4, 2025-02-26 00:00:00, 88778, 89143, 88937, 88992, 89134, 89245, 89433, 71262, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 695000, 28958, 89433, 76, 89433, 0, 
분당화력, CG5, 2025-02-26 00:00:00, 85460, 85819, 85764, 85786, 85805, 86005, 86098, 85009, 85991, 85751, 85230, 84595, 84035, 83929, 83585, 83538, 83831, 84233, 84883, 85263, 85588, 85978, 86726, 87098, 2046000, 85250, 87098, 83538, 87098, 83538, 
분당화력, CG6, 2025-02-26 00:00:00, 80144, 79745, 79690, 79709, 79798, 79735, 80230, 80939, 80765, 80592, 80615, 80648, 80547, 80624, 80424, 80596, 80829, 80584, 80840, 80709, 81215, 81404, 81667, 81952, 1934000, 80583, 81952, 79690, 81952, 79690, 
분당화력, CG7, 2025-02-26 00:00:00, 82528, 82652, 82581, 82576, 82670, 83050, 83047, 83099, 82632, 82276, 81962, 82014, 81880, 81688, 80876, 80940, 81176, 80945, 81168, 81047, 81540, 81731, 82775, 84147, 1971000, 82125, 84147, 80876, 84147, 80876, 
분당화력, CG8, 2025-02-26 00:00:00, 83323, 83247, 82873, 82918, 82989, 83370, 83103, 82423, 81858, 81073, 80693, 80713, 80667, 80372, 79550, 79688, 79891, 79665, 79927, 79772, 80301, 80473, 81593, 82518, 1953000, 81375, 83370, 79550, 83370, 79550, 
분당화력, CS1, 2025-02-26 00:00:00, 75196, 75541, 74783, 74683, 74847, 74809, 74578, 68769, 43772, 44136, 44285, 45005, 44368, 44756, 44875, 44937, 45371, 44965, 44695, 44750, 44943, 44839, 45048, 45047, 1309000, 54542, 75541, 43772, 75541, 43772, 
분당화력, CS2, 2025-02-26 00:00:00, 72860, 72688, 72535, 72498, 72572, 72447, 72100, 71723, 71246, 71365, 71795, 72805, 73396, 73446, 73031, 73179, 72970, 72241, 71911, 71321, 71568, 71482, 71524, 72298, 1735000, 72292, 73446, 71246, 73446, 71246, 
분당화력, CG1, 2025-02-25 00:00:00, 86272, 86402, 86453, 86539, 86576, 86366, 86536, 86551, 85710, 83917, 83190, 82587, 82081, 81823, 81907, 81986, 81862, 81889, 82071, 81856, 81237, 81439, 81880, 81872, 2009000, 83708, 86576, 81237, 86576, 81237, 
분당화력, CG2, 2025-02-25 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG3, 2025-02-25 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG4, 2025-02-25 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 60288, 88798, 88818, 87999, 87860, 87899, 87634, 87854, 88581, 88637, 88572, 88587, 88776, 88933, 89373, 89390, 1388000, 57833, 89390, 60288, 89390, 0, 
분당화력, CG5, 2025-02-25 00:00:00, 88096, 88253, 88277, 88425, 88477, 88500, 88784, 88849, 88256, 86889, 86383, 85798, 85237, 85003, 85000, 85060, 84829, 84835, 85026, 84700, 84742, 84985, 85295, 85300, 2075000, 86458, 88849, 84700, 88849, 84700, 
분당화력, CG6, 2025-02-25 00:00:00, 83198, 83279, 82712, 82923, 82958, 82871, 83242, 83338, 83430, 82828, 81708, 80054, 78874, 78700, 78530, 78325, 77572, 77513, 77674, 78300, 78910, 79429, 80314, 80319, 1937000, 80708, 83430, 77513, 83430, 77513, 
분당화력, CG7, 2025-02-25 00:00:00, 86658, 86618, 86241, 85978, 86238, 86491, 86989, 87201, 87300, 86611, 84435, 82493, 81686, 81655, 81132, 80293, 79486, 79427, 79813, 80706, 81304, 81815, 82717, 82713, 2006000, 83583, 87300, 79427, 87300, 79427, 
분당화력, CG8, 2025-02-25 00:00:00, 86263, 85927, 85469, 85272, 85685, 86311, 86795, 87273, 87793, 86290, 83924, 82615, 81482, 81347, 80786, 80305, 81194, 81154, 81072, 81449, 82070, 82605, 83458, 83461, 2010000, 83750, 87793, 80305, 87793, 80305, 
분당화력, CS1, 2025-02-25 00:00:00, 44034, 44282, 43947, 43782, 44032, 43883, 43986, 43845, 58480, 74852, 75355, 74834, 74936, 75328, 75330, 76154, 75050, 76005, 75874, 75484, 75476, 74876, 75340, 74839, 1540000, 64167, 76154, 43782, 76154, 43782, 
분당화력, CS2, 2025-02-25 00:00:00, 73536, 73048, 72149, 71879, 72343, 72423, 72525, 72362, 73401, 74792, 73712, 72382, 71776, 71846, 71375, 70681, 70438, 70437, 70394, 71009, 71162, 72042, 73115, 73173, 1732000, 72167, 74792, 70394, 74792, 70394, 
분당화력, CG1, 2025-02-24 00:00:00, 85535, 85518, 86196, 86355, 86026, 85659, 85988, 85927, 86196, 85254, 85225, 83929, 83758, 83147, 82500, 82194, 82419, 82711, 83138, 83358, 83408, 83363, 84441, 85755, 2028000, 84500, 86355, 82194, 86355, 82194, 
분당화력, CG2, 2025-02-24 00:00:00, 89063, 88795, 89091, 89326, 88508, 88066, 88412, 88364, 89016, 88263, 88420, 87044, 86976, 87083, 86659, 86277, 86534, 86784, 87042, 87080, 87165, 66029, 0, 0, 1910000, 79583, 89326, 66029, 89326, 0, 
분당화력, CG3, 2025-02-24 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG4, 2025-02-24 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG5, 2025-02-24 00:00:00, 88371, 88711, 89063, 89302, 88967, 88591, 88905, 88948, 89131, 87901, 87994, 86665, 86511, 85390, 84562, 84326, 85013, 85264, 85594, 85501, 85478, 85400, 86046, 87366, 2089000, 87042, 89302, 84326, 89302, 84326, 
분당화력, CG6, 2025-02-24 00:00:00, 398623, 396992, 398070, 400441, 400875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1995000, 83125, 400875, 396992, 400875, 0, 
분당화력, CG7, 2025-02-24 00:00:00, 413157, 411608, 412538, 417038, 417659, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2072000, 86333, 417659, 411608, 417659, 0, 
