발전구분, 호기, 일자, 1시 발전량(MWh), 2시 발전량(MWh),3시 발전량(MWh),4시 발전량(MWh),5시 발전량(MWh),6시 발전량(MWh),7시 발전량(MWh),8시 발전량(MWh),9시 발전량(MWh),10시 발전량(MWh),11시 발전량(MWh),12시 발전량(MWh),13시 발전량(MWh),14시 발전량(MWh),15시 발전량(MWh),16시 발전량(MWh),17시 발전량(MWh),18시 발전량(MWh),19시 발전량(MWh),20시 발전량(MWh),21시 발전량(MWh),22시 발전량(MWh),23시 발전량(MWh),24시 발전량(MWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
분당화력, CG1, 2025-01-31 00:00:00, 86785, 86933, 86524, 86546, 87364, 87410, 86700, 87067, 86561, 85890, 86380, 85915, 85961, 85888, 86151, 85893, 85802, 85832, 85712, 85203, 85175, 84969, 84318, 84020, 2065000, 86042, 87410, 84020, 87410, 84020, 
분당화력, CG2, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG3, 2025-01-31 00:00:00, 89367, 89603, 89256, 89235, 90053, 90099, 89363, 89611, 89805, 89391, 89961, 87360, 87723, 87469, 87813, 87975, 87944, 87902, 87880, 87805, 87819, 87608, 87654, 87305, 2126000, 88583, 90099, 87305, 90099, 87305, 
분당화력, CG4, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG5, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 62730, 87816, 87953, 87501, 87883, 87748, 88015, 88003, 87892, 87996, 87700, 87083, 87123, 86940, 86960, 86658, 1376000, 57333, 88015, 62730, 88015, 0, 
분당화력, CG6, 2025-01-31 00:00:00, 84565, 84696, 84460, 84458, 85065, 85130, 85126, 85903, 86162, 85332, 85966, 83359, 84150, 83860, 84038, 83846, 82700, 82006, 81641, 81579, 82061, 82480, 82765, 82652, 2014000, 83917, 86162, 81579, 86162, 81579, 
분당화력, CG7, 2025-01-31 00:00:00, 87540, 87685, 87430, 87411, 88037, 88095, 87873, 89133, 89581, 88834, 89530, 81252, 84354, 85842, 86360, 86729, 86808, 86496, 86125, 86312, 86598, 86453, 86745, 86777, 2088000, 87000, 89581, 81252, 89581, 81252, 
분당화력, CG8, 2025-01-31 00:00:00, 87203, 87318, 87081, 87095, 87700, 87766, 87776, 88531, 88505, 88279, 88987, 84136, 86441, 86509, 86650, 86919, 85790, 85126, 84755, 84941, 85270, 85595, 85877, 85750, 2080000, 86667, 88987, 84136, 88987, 84136, 
분당화력, CS1, 2025-01-31 00:00:00, 44450, 44422, 43916, 43838, 44553, 44715, 44253, 44340, 59467, 73779, 75018, 74164, 74774, 74607, 74797, 75019, 75193, 75266, 74792, 74226, 73884, 73609, 73274, 73644, 1530000, 63750, 75266, 43838, 75266, 43838, 
분당화력, CS2, 2025-01-31 00:00:00, 73279, 73494, 73145, 73201, 73787, 73795, 73518, 74705, 75130, 74354, 75531, 70060, 72796, 73350, 73325, 73912, 73237, 72485, 71902, 72189, 72441, 72783, 73295, 73285, 1759000, 73292, 75531, 70060, 75531, 70060, 
분당화력, CG1, 2025-01-30 00:00:00, 88898, 88738, 88545, 88634, 88782, 88566, 88079, 88560, 88278, 88146, 87569, 87453, 87096, 86492, 86020, 86181, 86030, 85175, 85443, 86128, 86468, 86292, 86210, 86218, 2094000, 87250, 88898, 85175, 88898, 85175, 
분당화력, CG2, 2025-01-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG3, 2025-01-30 00:00:00, 89948, 89803, 89728, 89728, 89900, 90217, 90466, 90806, 90437, 90705, 90441, 90433, 90100, 89835, 89481, 89620, 89740, 88847, 89001, 89506, 89793, 89520, 89447, 89496, 2157000, 89875, 90806, 88847, 90806, 88847, 
분당화력, CG4, 2025-01-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG5, 2025-01-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG6, 2025-01-30 00:00:00, 87712, 87786, 87778, 87753, 87745, 88045, 88116, 88373, 88047, 88104, 87464, 87010, 86316, 86002, 86157, 86004, 84871, 84103, 84160, 84384, 84506, 84199, 84193, 84172, 2073000, 86375, 88373, 84103, 88373, 84103, 
분당화력, CG7, 2025-01-30 00:00:00, 90698, 90800, 90785, 90751, 90753, 91035, 91126, 91350, 91045, 91097, 90467, 90373, 89848, 89551, 89701, 89542, 88434, 87663, 87715, 87916, 87678, 87233, 87225, 87211, 2150000, 89583, 91350, 87211, 91350, 87211, 
분당화력, CG8, 2025-01-30 00:00:00, 91470, 91497, 91497, 91466, 91475, 91781, 91715, 91506, 90758, 90816, 90176, 89721, 89029, 88741, 88883, 88716, 87573, 86801, 86624, 86598, 86675, 86405, 86368, 86710, 2143000, 89292, 91781, 86368, 91781, 86368, 
분당화력, CS1, 2025-01-30 00:00:00, 44262, 43801, 43866, 43759, 43744, 43924, 44157, 44264, 43481, 44081, 43851, 44766, 44781, 44626, 43806, 44176, 44267, 43658, 43726, 44238, 44860, 44399, 44274, 44233, 1059000, 44125, 44860, 43481, 44860, 43481, 
분당화력, CS2, 2025-01-30 00:00:00, 75832, 75917, 76064, 75754, 75515, 75830, 75772, 75718, 75143, 75446, 75328, 75380, 75185, 75199, 75790, 75834, 74512, 73532, 73388, 73273, 73382, 72936, 73041, 73229, 1797000, 74875, 76064, 72936, 76064, 72936, 
분당화력, CG1, 2025-01-29 00:00:00, 87438, 87382, 87512, 87541, 87660, 88000, 88175, 88157, 87832, 87434, 87793, 87162, 86653, 86633, 86966, 86899, 86897, 86958, 86899, 87018, 86826, 86348, 88601, 88216, 2097000, 87375, 88601, 86348, 88601, 86348, 
분당화력, CG2, 2025-01-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG3, 2025-01-29 00:00:00, 89530, 89542, 89559, 89948, 90133, 90496, 90367, 90226, 90037, 89616, 89869, 89408, 88963, 88997, 89288, 89598, 89680, 89756, 89793, 89811, 89553, 88792, 90077, 89961, 2153000, 89708, 90496, 88792, 90496, 88792, 
