발전구분, 호기, 일자, 1시 발전량(MWh), 2시 발전량(MWh),3시 발전량(MWh),4시 발전량(MWh),5시 발전량(MWh),6시 발전량(MWh),7시 발전량(MWh),8시 발전량(MWh),9시 발전량(MWh),10시 발전량(MWh),11시 발전량(MWh),12시 발전량(MWh),13시 발전량(MWh),14시 발전량(MWh),15시 발전량(MWh),16시 발전량(MWh),17시 발전량(MWh),18시 발전량(MWh),19시 발전량(MWh),20시 발전량(MWh),21시 발전량(MWh),22시 발전량(MWh),23시 발전량(MWh),24시 발전량(MWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
분당화력, CG1, 2022-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG2, 2022-01-31 00:00:00, 80474, 80471, 80514, 80869, 81314, 80929, 81276, 81537, 80926, 81386, 79660, 79414, 79487, 79287, 79203, 82013, 86265, 86376, 85790, 79664, 80221, 79711, 80109, 80102, 1947000, 81125, 86376, 79203, 86376, 79203, 
분당화력, CG3, 2022-01-31 00:00:00, 88292, 88904, 88889, 89105, 89612, 89507, 89557, 85947, 84746, 85235, 87923, 87104, 86852, 86739, 86756, 86985, 86984, 86903, 86856, 86940, 87284, 87335, 87786, 87758, 2100000, 87500, 89612, 84746, 89612, 84746, 
분당화력, CG4, 2022-01-31 00:00:00, 82616, 82560, 82651, 82749, 83244, 82862, 83204, 85986, 86263, 85323, 83099, 82669, 82629, 82452, 82396, 84088, 86332, 86352, 86020, 82729, 82858, 82868, 82643, 82409, 2007000, 83625, 86352, 82396, 86352, 82396, 
분당화력, CG5, 2022-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG6, 2022-01-31 00:00:00, 80687, 81099, 80998, 81003, 81257, 81278, 81308, 81301, 81279, 81555, 80995, 80527, 80073, 80229, 79415, 79590, 83037, 83157, 82701, 79795, 80040, 80060, 80253, 80364, 1942000, 80917, 83157, 79415, 83157, 79415, 
분당화력, CG7, 2022-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG8, 2022-01-31 00:00:00, 83241, 83782, 83705, 83691, 83912, 83920, 83983, 84243, 84468, 84619, 84415, 83448, 83795, 83516, 83569, 83752, 85165, 85066, 84594, 82930, 83500, 83325, 83269, 83091, 2013000, 83875, 85165, 82930, 85165, 82930, 
분당화력, CS1, 2022-01-31 00:00:00, 68325, 68142, 67703, 67930, 67953, 67984, 67683, 67695, 67595, 68759, 70668, 70343, 71547, 71838, 72260, 73864, 76888, 76295, 75386, 69915, 71010, 71675, 70873, 70670, 1693000, 70542, 76888, 67595, 76888, 67595, 
분당화력, CS2, 2022-01-31 00:00:00, 46354, 46548, 46327, 46067, 45923, 45805, 45617, 45554, 45646, 46258, 47311, 47480, 48119, 48660, 48745, 48798, 50553, 50721, 50051, 47840, 47949, 48225, 47746, 47701, 1140000, 47500, 50721, 45554, 50721, 45554, 
