발전구분, 호기, 일자, 1시 발전량(MWh), 2시 발전량(MWh),3시 발전량(MWh),4시 발전량(MWh),5시 발전량(MWh),6시 발전량(MWh),7시 발전량(MWh),8시 발전량(MWh),9시 발전량(MWh),10시 발전량(MWh),11시 발전량(MWh),12시 발전량(MWh),13시 발전량(MWh),14시 발전량(MWh),15시 발전량(MWh),16시 발전량(MWh),17시 발전량(MWh),18시 발전량(MWh),19시 발전량(MWh),20시 발전량(MWh),21시 발전량(MWh),22시 발전량(MWh),23시 발전량(MWh),24시 발전량(MWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
분당화력, CG1, 2025-12-31 00:00:00, 87572, 87609, 87936, 88679, 88976, 88839, 89465, 89264, 89803, 89694, 89763, 89513, 89809, 89213, 89057, 89699, 90552, 90870, 90894, 91288, 91419, 91941, 92146, 0, 2064000, 86000, 92146, 87572, 92146, 0, 
분당화력, CG2, 2025-12-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 170, 69604, 90319, 90432, 90139, 90458, 90500, 90757, 66621, 0, 0, 0, 0, 0, 0, 0, 0, 679000, 28292, 90757, 170, 90757, 0, 
분당화력, CG3, 2025-12-31 00:00:00, 90525, 90168, 90398, 91168, 91641, 91159, 91304, 91308, 89440, 89399, 89386, 89128, 89232, 88159, 87974, 88573, 90842, 92057, 92248, 92457, 92766, 93044, 92623, 0, 2085000, 86875, 93044, 87974, 93044, 0, 
분당화력, CG4, 2025-12-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG5, 2025-12-31 00:00:00, 92021, 91655, 91814, 92545, 92945, 92602, 92692, 92515, 90951, 90689, 90628, 90429, 90690, 90030, 89252, 89320, 91835, 93006, 93318, 93816, 93887, 94214, 94146, 0, 2115000, 88125, 94214, 89252, 94214, 0, 
분당화력, CG6, 2025-12-31 00:00:00, 83572, 83875, 83870, 84288, 84398, 84739, 86555, 86536, 86558, 85265, 85298, 85158, 85000, 84488, 83462, 83543, 82983, 82972, 83858, 84096, 84024, 84059, 84201, 84200, 2027000, 84458, 86558, 82972, 86558, 82972, 
분당화력, CG7, 2025-12-31 00:00:00, 88140, 88035, 88027, 88458, 88572, 88696, 89184, 89166, 89258, 88610, 88648, 88499, 87841, 87375, 86327, 86384, 85813, 85825, 85787, 85905, 85846, 86041, 87528, 72036, 2086000, 86917, 89258, 72036, 89258, 72036, 
분당화력, CG8, 2025-12-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 59692, 87230, 87343, 87182, 87064, 86505, 85476, 85572, 85001, 85011, 85463, 85648, 85558, 85742, 87241, 87273, 1353000, 56375, 87343, 59692, 87343, 0, 
분당화력, CS1, 2025-12-31 00:00:00, 73944, 73389, 73091, 73337, 73341, 72439, 72497, 72264, 87580, 102146, 101861, 101799, 102419, 102199, 102240, 96716, 73174, 74302, 74268, 74399, 74300, 73507, 72789, 0, 1898000, 79083, 102419, 72264, 102419, 0, 
분당화력, CS2, 2025-12-31 00:00:00, 50523, 50486, 50067, 50082, 49787, 49738, 50320, 49902, 58732, 71452, 71669, 71707, 71536, 71223, 70220, 70434, 69761, 69644, 69967, 69881, 69326, 68897, 69557, 63089, 1508000, 62833, 71707, 49738, 71707, 49738, 
분당화력, CG1, 2025-12-30 00:00:00, 83254, 83404, 83411, 83346, 83533, 83943, 84177, 84324, 84007, 83294, 83741, 84368, 84112, 83801, 83671, 83820, 83795, 84125, 84725, 85012, 85229, 84963, 85085, 84859, 2018000, 84083, 85229, 83254, 85229, 83254, 
분당화력, CG2, 2025-12-30 00:00:00, 88748, 88926, 88836, 88773, 88870, 88712, 88963, 89196, 88865, 69112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 869000, 36208, 89196, 69112, 89196, 0, 
분당화력, CG3, 2025-12-30 00:00:00, 87442, 87779, 87545, 87540, 87711, 87750, 88036, 88142, 87745, 87063, 87381, 88115, 87834, 87473, 87509, 87531, 87593, 87851, 88091, 88147, 88234, 88050, 88290, 88150, 2107000, 87792, 88290, 87063, 88290, 87063, 
분당화력, CG4, 2025-12-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
분당화력, CG5, 2025-12-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 64351, 84851, 86985, 88855, 88658, 88283, 88252, 88301, 88332, 88622, 88852, 88889, 89025, 88751, 88546, 88449, 1388000, 57833, 89025, 64351, 89025, 0, 
분당화력, CG6, 2025-12-30 00:00:00, 84079, 84186, 83910, 83710, 83905, 84694, 85295, 85393, 85137, 84844, 84810, 84986, 84891, 84745, 84882, 84884, 84911, 85004, 85207, 85275, 85295, 85103, 85342, 84512, 2035000, 84792, 85393, 83710, 85393, 83710, 
분당화력, CG7, 2025-12-30 00:00:00, 89130, 89277, 88991, 88763, 88985, 89749, 88949, 88431, 88188, 87879, 87866, 88030, 87945, 87818, 87957, 87927, 87984, 88073, 88763, 89359, 89371, 89172, 89419, 88974, 2127000, 88625, 89749, 87818, 89749, 87818, 
