model,NMAE,bias_%,n
ResMLP+AdaLN v2 ensemble (★ 채택),5.875760078430176,1.4145923852920532,32443
FT-Transformer,6.10618782043457,0.6215084791183472,32443
ResMLP+AdaLN (single),6.134343147277832,-0.10840108245611191,32443
NGBoost baseline,6.332287334213938,-0.24554883116437298,32443
LSTM baseline,7.258918762207031,0.004533708095550537,32443
