site,n,nmae,bias,cov80,cov95,cap_kW,cap_MW
경상대,4060.0,3.375901925323641,0.3704997989993652,92.01970443349754,97.48768472906404,905,0.905
영흥,4022.0,4.358271413347496,0.4457572196975669,87.99104922923918,95.12680258577822,5493,5.493
고흥만수상,4064.0,4.412107436443812,0.1208543135806566,89.37007874015748,96.6535433070866,63481,63.481
삼천포,4063.0,4.679603397105496,-0.2253262803329596,88.23529411764706,95.34826482894412,1340,1.34
구미,4055.0,5.1681004478866015,2.0196861072136816,83.37854500616523,94.30332922318124,992,0.992
예천,4053.0,8.122120136182257,-0.6681580467831735,77.9916111522329,90.84628670120898,2000,2.0
광양항세방,4064.0,8.330799890620801,7.0204987768529525,69.88188976377953,84.67027559055119,2993,2.993
창원,4062.0,8.546568839104616,2.2175813112467533,90.89118660758248,98.4490398818316,77,0.077
