DEADBAND,shortfall,over_commit,ratio,total_dE,state_INC
0,1197.345934027474,769.5761645948969,0.6427350214539072,5670.1947336289595,115
2,698.8867012786231,700.1639915191874,1.0018276070187448,3485.4371857896504,115
4,441.4514958754588,640.1001205922728,1.4499896966548194,2448.120008095336,115
6,303.2692202692618,582.5875842329141,1.9210244406460228,1897.146827891125,115
8,224.36400147645995,535.3468429087917,2.386063893431495,1602.1566834052387,115
