DEADBAND,mode,shortfall,over_commit,ratio
0,post-hoc (response 고정),4207.495409032987,557.6509140667846,0.13253749793037806
1,post-hoc (response 고정),2699.1081042581177,581.8730250890287,0.21557974064509117
2,post-hoc (response 고정),1638.757966833469,602.718079379719,0.3677895647667459
3,post-hoc (response 고정),933.3505160543027,621.8856868618444,0.666293826558149
4,post-hoc (response 고정),441.4514958754588,640.1001205922728,1.4499896966548194
5,post-hoc (response 고정),353.64520916120523,920.1921591507432,2.6020207126043204
6,post-hoc (response 고정),290.1383119353203,1120.4298561031837,3.861709433096026
8,post-hoc (response 고정),205.45653550648305,1362.402701628912,6.631099362550685
10,post-hoc (response 고정),152.0961224170494,1506.7522324343659,9.906578869268166
