site,cap_MW,cf_mean,cf_std,outage_h,outage_pct
고흥만수상,63.481,0.415185809135437,0.2335895597934723,18,0.548780487804878
영흥,5.493,0.3566697835922241,0.2187993973493576,2,0.06150061500615006
광양항세방,2.993,0.2530963122844696,0.1853766292333603,53,1.6163464470875268
예천,2.0,0.34017398953437805,0.22984211146831512,152,4.635559621835926
삼천포,1.34,0.362385630607605,0.22226890921592712,11,0.3354681305275999
구미,0.992,0.33814868330955505,0.20582059025764465,35,1.0673985971332722
경상대,0.905,0.3454766273498535,0.19167566299438477,20,0.609942055504727
창원,0.077,0.29322800040245056,0.16406655311584473,14,0.4269594388533089
