mode,horizon_h,regime,spread_80,spread_95
A,9,clear,1.0514117630214663,1.2837734094614923
A,9,mild,0.928150679749648,1.141967982156295
A,9,heavy,0.8225645522887626,1.05264565314225
A,10,clear,1.0395977347591605,1.3084616271155656
A,10,mild,0.9389802829271328,1.1763426087847615
A,10,heavy,0.8172290098013473,1.031664256507584
A,11,clear,1.0620473666446852,1.3529024196463344
A,11,mild,0.9540005208197607,1.1878375392513512
A,11,heavy,0.8050868005824031,1.0319273467774612
A,12,clear,1.1150459484338997,1.4125097439301744
A,12,mild,0.9344018686387833,1.207738022792698
A,12,heavy,0.8176609458146196,1.0307904253266897
A,13,clear,1.1215656034203867,1.394100737758253
A,13,mild,0.9793489546960625,1.2677478090787404
A,13,heavy,0.821952203205039,1.0316861488329698
A,14,clear,1.1079543509056262,1.2963906549942754
A,14,mild,0.9354081705689937,1.1942413024010292
A,14,heavy,0.8217991159341081,1.0830750726326537
A,15,clear,1.0966837344954738,1.1773962317399251
A,15,mild,0.967723371695732,1.1965587085858918
A,15,heavy,0.8106448689015069,1.0627687511095143
A,16,clear,1.1141644672843567,1.155724743268852
A,16,mild,1.0542889287216086,1.152280370144834
A,16,heavy,0.8048198300314795,0.9975847878639584
A,17,clear,1.179413239810902,1.181137982816923
A,17,mild,1.1033681793805004,1.0534598046030474
A,17,heavy,0.8167970737880748,1.0230791909763433
A,8,clear,1.0313796159176232,1.2583395039313243
A,8,mild,0.936414472499204,1.1677489521276447
A,8,heavy,0.8408513039243399,1.061770972675382
A,7,clear,1.0274592617778961,1.2515595127468606
A,7,mild,0.936414472499204,1.1378858426397866
A,7,heavy,0.8464622591081439,1.0516073299764572
A,6,clear,1.0274592617778961,1.2515595127468606
A,6,mild,0.936414472499204,1.1378858426397866
A,6,heavy,0.8464622591081439,1.0516073299764572
A,5,clear,1.0274592617778961,1.2515595127468606
A,5,mild,0.936414472499204,1.1378858426397866
A,5,heavy,0.8464622591081439,1.0516073299764572
A,4,clear,1.0274592617778961,1.2515595127468606
A,4,mild,0.936414472499204,1.1378858426397866
A,4,heavy,0.8464622591081439,1.0516073299764572
A,3,clear,1.0274592617778961,1.2515595127468606
A,3,mild,0.936414472499204,1.1378858426397866
A,3,heavy,0.8464622591081439,1.0516073299764572
A,2,clear,1.0274592617778961,1.2515595127468606
A,2,mild,0.936414472499204,1.1378858426397866
A,2,heavy,0.8464622591081439,1.0516073299764572
A,1,clear,1.0274592617778961,1.2515595127468606
A,1,mild,0.936414472499204,1.1378858426397866
A,1,heavy,0.8464622591081439,1.0516073299764572
A,18,clear,1.3105675905699699,1.1929856958118663
A,18,mild,1.151708741058398,1.075115714411036
A,18,heavy,1.0146115000904503,1.0339862341703574
A,19,clear,1.2520054506785452,1.1126322069990164
A,19,heavy,1.0727505753535442,1.1079237931021941
B,9,clear,1.047389886533982,1.2837734094614923
B,9,mild,0.9271561602431293,1.141967982156295
B,9,heavy,0.823409604081113,1.035727073930376
B,10,clear,1.0394397581226167,1.3031991049955916
B,10,mild,0.9389802829271328,1.1763426087847615
B,10,heavy,0.8194457946663968,1.0280791822842876
