site,unit,date,total_kwh,avg_kw,max_hour_kw,min_hour_kw
경상대태양광,1,2022-04-13,840.24,35,203.76,3.6
경상대태양광,1,2022-04-14,2278.08,95,349.2,9.36
경상대태양광,1,2022-04-15,4183.2,174,691.92,6.48
경상대태양광,1,2022-04-16,5014.08,209,678.96,28.8
경상대태양광,1,2022-04-17,5150.16,215,670.32,22.32
경상대태양광,1,2022-04-18,3926.88,164,588.24,17.28
경상대태양광,1,2022-04-19,4818.24,201,644.4,25.2
경상대태양광,1,2022-04-20,5073.12,211,666.72,21.6
경상대태양광,1,2022-04-21,1344.96,56,255.6,9.36
경상대태양광,1,2022-04-22,5030.64,210,663.84,27.36
경상대태양광,1,2022-04-23,3200.4,133,527.76,15.84
경상대태양광,1,2022-04-24,4839.84,202,637.92,25.92
경상대태양광,1,2022-04-25,3766.32,157,562.32,12.24
경상대태양광,1,2022-04-26,804.24,34,161.28,7.2
경상대태양광,1,2022-04-27,4656.24,194,616.32,0.72
경상대태양광,1,2022-04-28,4260.24,178,602.64,17.28
경상대태양광,1,2022-04-29,1958.4,82,352.08,0.72
경상대태양광,1,2022-04-30,3638.88,152,522.72,30.96
경상대태양광,1,2022-05-01,5266.08,219,668.16,0.72
경상대태양광,1,2022-05-02,4459.68,186,651.6,0.72
경상대태양광,1,2022-05-03,5244.48,219,678.24,0.72
경상대태양광,1,2022-05-04,5246.64,219,668.16,0.72
경상대태양광,1,2022-05-05,5284.08,220,674.64,0.72
경상대태양광,1,2022-05-06,4906.8,204,637.92,0.72
경상대태양광,1,2022-05-07,4579.2,191,604.08,2.16
경상대태양광,1,2022-05-08,4314.24,180,528.48,0.72
경상대태양광,1,2022-05-09,3494.88,146,626.4,0.72
경상대태양광,1,2022-05-10,4015.44,167,645.12,0.72
경상대태양광,1,2022-05-11,3178.8,132,583.92,7.92
경상대태양광,1,2022-05-12,2530.08,105,418.32,20.16
경상대태양광,1,2022-05-13,1311.12,55,241.92,7.2
경상대태양광,1,2022-05-14,5052.96,211,659.52,2.16
경상대태양광,1,2022-05-15,5114.88,213,658.08,2.16
경상대태양광,1,2022-05-16,5095.44,212,642.24,0.72
경상대태양광,1,2022-05-17,4545.36,189,636.48,1.44
