strategy,site_nmae,port_nmae,port_crash,cov80
1_model_baseline,6.07,5.04,145,81.7
3_group,7.837011908939237,6.775328951900021,182,71.27139364303179
per_site,7.790825143867959,6.725981997186422,184,72.32273838630807
