ÀÏÀÚ,À¯¿¬Åº(Åæ),ºÎ»ý¿¬·áÀ¯(L),¿ìµåÆç¸´(Åæ)
2017-09-14,4421,,
2017-09-15,4402,,
2017-09-16,4366,,
2017-09-17,4355,9000,
2017-09-18,5720,247000,
2017-09-19,7643,,276
2017-09-20,7232,,434
2017-09-21,7500,,441
2017-09-22,7410,,435
2017-09-23,7503,,432
2017-09-24,7137,,427
2017-09-25,7643,,380
2017-09-26,7804,,
2017-09-27,7772,,386
2017-09-28,7623,,387
2017-09-29,7118,,390
2017-09-30,7932,,386
2017-10-01,8419,,392
2017-10-02,8201,,392
2017-10-03,7839,,380
2017-10-04,7452,,
2017-10-05,7603,,
2017-10-06,7317,,400
2017-10-07,7522,,414
2017-10-08,7582,,221
2017-10-09,8348,,260
2017-10-10,8529,,
2017-10-11,8685,,
2017-10-12,8698,,
2017-10-13,7924,,460
2017-10-14,7949,,438
2017-10-15,7304,,393
2017-10-16,8256,,393
2017-10-17,8029,,421
2017-10-18,8061,,424
2017-10-19,8143,,408
2017-10-20,8093,,424
2017-10-21,7660,,420
2017-10-22,7142,,428
2017-10-23,7802,,169
2017-10-24,8052,,340
2017-10-25,8102,,423
2017-10-26,7698,26000,431
2017-10-27,3572,,433
2017-10-28,3607,,449
2017-10-29,2828,,418
2017-10-30,3551,,450
2017-10-31,3397,,422
2017-11-01,3519,,422
2017-11-02,3560,,371
2017-11-03,3574,,369
2017-11-04,3500,,382
2017-11-05,3247,,
2017-11-06,3642,,
2017-11-07,3936,,
2017-11-08,4005,,
2017-11-09,3786,,
2017-11-10,3986,,
2017-11-11,3978,,
2017-11-12,3669,,
2017-11-13,3578,,355
2017-11-14,3812,,342
2017-11-15,3784,,329
2017-11-16,3604,,343
2017-11-17,3824,,342
2017-11-18,3862,,206
2017-11-19,4049,,
2017-11-20,3788,,296
2017-11-21,3718,,391
2017-11-22,3768,,253
2017-11-23,3956,,
2017-11-24,3703,,375
2017-11-25,3605,,365
2017-11-26,3646,,
2017-11-27,3440,,245
