사업소| 호기| 일자| 유연탄| 무연탄| 계(석탄)| 유류| LNG| 고형연료| 우드펠릿
분당연료전지| 소계| 202507| 0| 0| 0| 0| 3639| 0| 0
분당화력| 소계| 202507| 0| 0| 0| 0| 16571| 0| 0
삼천포| 소계| 202507| 533110| 0| 533110| 288| 0| 2805| 0
안산연료전지| 소계| 202507| 0| 0| 0| 0| 229| 0| 0
여수| 소계| 202507| 178950| 0| 178950| 1239| 0| 0| 0
여수연료전지| 소계| 202507| 0| 0| 0| 0| 1144| 0| 0
영동| 소계| 202507| 0| 0| 0| 187| 0| 0| 93735
영흥| 소계| 202507| 913113| 0| 913113| 3050| 0| 0| 0
