사업소| 호기| 일자| 유연탄| 무연탄| 계(석탄)| 유류| LNG| 고형연료| 우드펠릿
분당연료전지| 소계| 202509| 0| 0| 0| 0| 3720| 0| 0
분당화력| 소계| 202509| 0| 0| 0| 0| 13214| 0| 0
삼천포| 소계| 202509| 508659| 0| 508659| 707| 0| 4065| 0
안산연료전지| 소계| 202509| 0| 0| 0| 0| 121| 0| 0
여수| 소계| 202509| 192336| 0| 192336| 520| 0| 0| 0
여수연료전지| 소계| 202509| 0| 0| 0| 0| 1132| 0| 0
영동| 소계| 202509| 0| 0| 0| 302| 0| 0| 62250
영흥| 소계| 202509| 762404| 0| 762404| 559| 0| 0| 0
