사업소| 호기| 일자| 유연탄| 무연탄| 계(석탄)| 유류| LNG| 고형연료| 우드펠릿
분당연료전지| 소계| 202506| 0| 0| 0| 0| 3786| 0| 0
분당화력| 소계| 202506| 0| 0| 0| 0| 12902| 0| 0
삼천포| 소계| 202506| 298080| 0| 298080| 1864| 0| 2154| 0
안산연료전지| 소계| 202506| 0| 0| 0| 0| 266| 0| 0
여수| 소계| 202506| 98773| 0| 98773| 590| 0| 0| 0
여수연료전지| 소계| 202506| 0| 0| 0| 0| 1215| 0| 0
영동| 소계| 202506| 0| 0| 0| 180| 0| 0| 92463
영흥| 소계| 202506| 781713| 0| 781713| 1269| 0| 0| 0
