사업소| 호기| 일자| 유연탄| 무연탄| 계(석탄)| 유류| LNG| 고형연료| 우드펠릿
분당연료전지| 소계| 202204| 0| 0| 0| 0| 3849| 0| 0
분당화력| 소계| 202204| 0| 0| 0| 0| 18438| 0| 0
삼천포| 소계| 202204| 431085| 0| 431085| 1215| 0| 2129| 0
안산연료전지| 소계| 202204| 0| 0| 0| 0| 183| 0| 0
여수| 소계| 202204| 143144| 0| 143144| 506| 0| 0| 0
여수연료전지| 소계| 202204| 0| 0| 0| 0| 1122| 0| 0
영동| 소계| 202204| 0| 0| 0| 0| 0| 0| 47221
영흥| 소계| 202204| 737018| 0| 737018| 3596| 0| 0| 0
