사업소| 호기| 일자| 유연탄| 무연탄| 계(석탄)| 유류| LNG| 고형연료| 우드펠릿
분당연료전지| 소계| 202501| 0| 0| 0| 0| 4211| 0| 0
분당화력| 소계| 202501| 0| 0| 0| 0| 39582| 0| 0
삼천포| 소계| 202501| 432070| 0| 432070| 959| 0| 1662| 0
안산연료전지| 소계| 202501| 0| 0| 0| 0| 237| 0| 0
여수| 소계| 202501| 131758| 0| 131758| 409| 0| 0| 0
여수연료전지| 소계| 202501| 0| 0| 0| 0| 1163| 0| 0
영동| 소계| 202501| 0| 0| 0| 70| 0| 0| 85368
영흥| 소계| 202501| 565166| 0| 565166| 1996| 0| 0| 0
