bin_center,n,bias,spread
0.45454545454545453,523,-0.32982830861150814,1.189032736607956
1.3636363636363635,192,-0.3132645912496967,1.2746443159235137
2.2727272727272725,113,-0.1776622262256002,0.9548243348582022
3.1818181818181817,112,-0.183309847537074,1.143636337834334
4.090909090909091,91,0.23246388834218812,1.0488623480563706
5.0,126,-0.07407295528522291,1.2381388532517676
5.909090909090908,130,0.06703974786789343,1.0212651537377828
6.818181818181818,168,0.07503331466788857,1.362518409447778
7.727272727272727,163,0.09710309953894813,1.0672091622398094
8.636363636363637,132,0.05221709552900725,1.1453494818084755
9.545454545454545,220,-0.21856878781162828,0.9886824304030405
