label,shortfall_MWh,over_commit_MWh,state_changes,sign_flips,mean|corr|,residual_MWh
Phase 1 only (reactive),545.9345384910253,696.955883621626,0,0,0.7318575391796105,441.2077436013482
Phase 1+2 (predictive),441.4514958754588,640.1001205922728,126,0,0.746378051248578,360.5232628379837
