발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 8.736, 15.168, 16.128, 17.088, 17.088, 18.144, 114.336, 707.232, 600.576, 433.92, 578.304, 679.872, 675.648, 471.168, 0, 0, 0, 0, 4353.408, 181, 707.23, 8.736, 707.232, 0, 
삼천포태양광#5, 1, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 47.009, 165.637, 191.781, 142.878, 184.025, 362.144, 238.208, 198.215, 347.402, 1281.54, 2427.949, 2455.345, 2382.464, 0, 0, 0, 0, 0, 10424.597, 434, 2455.34, 47, 2455.345, 0, 
삼천포태양광#5, 2, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 96.057, 257.439, 285.738, 278.984, 284.68, 645.551, 320.163, 297.043, 568.425, 2360.369, 4301.848, 4121.703, 3762.467, 1532.664, 0, 0, 0, 0, 19113.131, 796, 4301.84, 96.05, 4301.848, 0, 
광양항세방태양광, 1, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 7.2, 84, 115.2, 81.6, 81.6, 336, 352.8, 304.8, 189.6, 285.6, 24, 2.4, 0, 0, 0, 0, 0, 0, 1864.8, 78, 352.8, 2.4, 352.8, 0, 
두산엔진MG태양광, 1, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 2.16, 5.82, 14.58, 15.84, 14.76, 3.54, 15.48, 20.46, 29.7, 35.58, 18.84, 14.82, 0.9, 0, 0, 0, 0, 0, 192.48, 8, 35.58, 0.9, 35.58, 0, 
삼천포태양광, 1, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.708, 2.832, 0.084, 2.124, 12.756, 6.816, 8.568, 12.816, 9.036, 7.044, 0.312, 0, 0, 0, 0, 0, 0, 63.096, 3, 12.81, 0.08, 12.816, 0, 
삼천포태양광, 2, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 10.944, 87.936, 145.248, 39.456, 80.544, 348.768, 252.48, 250.656, 376.704, 236.544, 220.416, 41.28, 0.384, 0, 0, 0, 0, 0, 2091.36, 87, 376.7, 0.384, 376.704, 0, 
삼천포태양광, 3, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 1.908, 43.056, 61.344, 11.196, 31.32, 152.172, 100.404, 105.624, 160.416, 100.332, 92.88, 12.6, 0, 0, 0, 0, 0, 0, 873.252, 36, 160.41, 1.9, 160.416, 0, 
삼천포태양광, 4, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 11.632, 73.024, 94.962, 48.036, 77.776, 110.28, 106.382, 94.152, 89.757, 543.008, 1193.674, 1187.792, 553.636, 0, 0, 0, 0, 0, 4184.111, 174, 1193.67, 11.632, 1193.674, 0, 
구미태양광, 1, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 2.82, 71.737, 234.52, 379.73, 505.921, 523.277, 571.584, 306.257, 121.852, 113.03, 102.255, 51.489, 11.787, 0, 0, 0, 0, 0, 2996.259, 125, 571.58, 2.82, 571.584, 0, 
삼천포태양광#6, 1, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 3.894, 49.005, 69.614, 36.566, 54.903, 67.208, 75.062, 65.286, 58.977, 249.611, 591.833, 617.968, 486.848, 0, 0, 0, 0, 0, 2426.775, 101, 617.96, 3.894, 617.968, 0, 
영흥태양광#5, 1, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 43.389, 388.095, 1007.6, 1704.242, 1277.579, 1055.811, 592.989, 1272.758, 1361.947, 1506.579, 1328.2, 672.537, 96.421, 0, 0, 0, 0, 0, 12308.147, 513, 1704.24, 43.389, 1704.242, 0, 
영흥태양광 #3, 1, 2025-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 24, 240.48, 657.84, 1092.72, 785.28, 701.52, 413.28, 915.36, 1033.92, 1024.56, 839.76, 362.16, 47.28, 0, 0, 0, 0, 0, 8138.16, 339, 1092.72, 24, 1092.72, 0, 
