발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2022-07-31 00:00:00, 582.336, 581.28, 374.784, 0, 0, 0, 0, 12.768, 33.6, 55.488, 72.096, 35.424, 33.888, 33.312, 33.6, 19.968, 18.24, 46.176, 25.92, 0, 0, 0, 0, 293.472, 2252.352, 94, 582.33, 12.768, 582.336, 0, 
삼천포태양광#5, 1, 2022-07-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 66.4, 185.01, 151.108, 154.811, 176.346, 101.739, 177.174, 86.779, 235.026, 795.474, 47.005, 0, 0, 0, 0, 0, 0, 2176.872, 91, 795.47, 47, 795.474, 0, 
삼천포태양광#5, 2, 2022-07-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 124.751, 292.362, 235.771, 240.817, 270.619, 176.759, 274.8, 159.095, 414.611, 1552.379, 101.242, 4.821, 0, 0, 0, 0, 0, 3848.027, 160, 1552.37, 4.821, 1552.379, 0, 
광양항세방태양광, 1, 2022-07-31 00:00:00, 0, 0, 0, 0, 0, 0, 2.4, 148.8, 266.4, 163.2, 52.8, 38.4, 74.4, 110.4, 321.6, 230.4, 105.6, 9.6, 4.8, 0, 0, 0, 0, 0, 1528.8, 64, 321.6, 2.4, 321.6, 0, 
두산엔진MG태양광, 1, 2022-07-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 4.8, 10.5, 12, 4.5, 4.26, 3.96, 4.08, 3.36, 3.9, 5.46, 3.18, 38.28, 1.98, 0, 0, 0, 0, 100.26, 4, 38.28, 1.98, 38.28, 0, 
삼천포태양광, 1, 2022-07-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.204, 4.068, 2.088, 3.348, 3.696, 0.732, 2.172, 0.408, 1.632, 1.764, 0, 0, 0, 0, 0, 0, 0, 20.112, 1, 4.06, 0.204, 4.068, 0, 
삼천포태양광, 2, 2022-07-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 20.352, 86.016, 57.12, 69.888, 76.416, 37.344, 56.736, 21.984, 53.76, 55.296, 11.52, 0, 0, 0, 0, 0, 0, 546.432, 23, 86.01, 11.52, 86.016, 0, 
삼천포태양광, 3, 2022-07-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.648, 26.316, 14.436, 19.512, 21.636, 6.804, 14.148, 3.456, 11.952, 13.068, 2.16, 0, 0, 0, 0, 0, 0, 134.136, 6, 26.31, 0.648, 26.316, 0, 
삼천포태양광, 4, 2022-07-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 4.357, 66.688, 21.607, 2.89, 30.146, 4.297, 38.7, 5.94, 88.92, 53.1, 5.22, 0, 0, 0, 0, 0, 0, 321.865, 13, 88.92, 2.89, 88.92, 0, 
구미태양광, 1, 2022-07-31 00:00:00, 0, 0, 0, 0, 0, 0, 0.072, 73.834, 94.734, 162.349, 187.443, 150.055, 12.294, 87.574, 138.485, 127.493, 54.165, 7.665, 0, 0, 0, 0, 0, 0, 1096.163, 46, 187.44, 0.072, 187.443, 0, 
