발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 9.408, 20.736, 113.28, 17.76, 17.952, 299.136, 641.76, 482.208, 388.896, 691.584, 689.856, 690.048, 139.488, 0, 0, 0, 4202.112, 175, 691.58, 9.408, 691.584, 0, 
삼천포태양광#5, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 22.779, 195.976, 204.654, 325.783, 669.644, 1667.241, 3092.223, 2411.37, 899.97, 2553.471, 2537.923, 2539.007, 862.004, 0, 0, 0, 0, 17982.045, 749, 3092.22, 22.77, 3092.223, 0, 
삼천포태양광#5, 2, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 39.533, 281.067, 362.061, 970.96, 1620.356, 3326.526, 5265.072, 4101.752, 1602.518, 4217.939, 3853.467, 3849.611, 1145, 0, 0, 0, 0, 30635.862, 1276, 5265.07, 39.53, 5265.072, 0, 
광양항세방태양광, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 12, 220.8, 624, 1058.4, 1435.2, 1521.6, 1406.4, 1075.2, 475.2, 187.2, 2.4, 0, 0, 0, 0, 0, 0, 8018.4, 334, 1521.6, 2.4, 1521.6, 0, 
두산엔진MG태양광, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.6, 2.64, 9.78, 24.66, 37.14, 45.12, 48.72, 46.92, 35.94, 10.56, 0.24, 0, 0, 0, 0, 0, 0, 262.32, 11, 48.72, 0.24, 48.72, 0, 
삼천포태양광, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.912, 9.36, 29.58, 41.232, 48.564, 50.568, 47.832, 38.34, 15.072, 4.992, 0, 0, 0, 0, 0, 0, 0, 286.452, 12, 50.56, 0.912, 50.568, 0, 
삼천포태양광, 2, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 6.816, 103.008, 436.128, 642.432, 731.328, 722.688, 587.424, 389.184, 213.888, 77.376, 0.48, 0, 0, 0, 0, 0, 0, 3910.752, 163, 731.32, 0.48, 731.328, 0, 
삼천포태양광, 3, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 1.224, 12.996, 85.248, 226.584, 252.576, 257.328, 242.532, 156.168, 46.98, 15.156, 0, 0, 0, 0, 0, 0, 0, 1296.792, 54, 257.32, 1.224, 257.328, 0, 
삼천포태양광, 4, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 2.16, 34.74, 100.8, 117.72, 234, 767.88, 1384.92, 1101.06, 405.18, 1199.88, 1184.58, 1142.46, 0, 0, 0, 0, 0, 7675.38, 320, 1384.92, 2.16, 1384.92, 0, 
구미태양광, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.145, 155.696, 443.007, 601.957, 680.998, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1881.803, 78, 680.99, 0.14, 680.998, 0, 
삼천포태양광#6, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 2.893, 69.423, 90.395, 87.502, 86.056, 84.609, 150.417, 472.945, 190.191, 546.707, 637.102, 637.102, 10.124, 0, 0, 0, 0, 3065.466, 128, 637.1, 2.893, 637.102, 0, 
영흥태양광#5, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 21.695, 484.516, 1697.011, 2311.695, 2596.137, 2772.105, 2198.4, 1504.168, 981.084, 110.884, 0, 0, 0, 0, 0, 0, 0, 14677.695, 612, 2772.1, 21.695, 2772.105, 0, 
영흥태양광 #3, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 53.52, 66, 64.08, 79.68, 90.48, 107.04, 535.2, 512.88, 1478.64, 2302.08, 1548, 16.8, 0, 0, 0, 0, 6854.4, 286, 2302.08, 16.8, 2302.08, 0, 
영흥태양광 #3, 2, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 2.112, 49.728, 44.064, 40.896, 39.072, 265.92, 527.136, 380.448, 223.104, 787.584, 890.88, 63.36, 62.4, 0, 0, 0, 0, 3376.704, 141, 890.88, 2.112, 890.88, 0, 
영흥태양광 #3, 3, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 46.08, 38.28, 48.24, 955.56, 1183.32, 1021.92, 659.16, 461.64, 768.36, 990.24, 60, 58.8, 0, 0, 0, 0, 6291.6, 262, 1183.32, 38.28, 1183.32, 0, 
영흥태양광, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 39.36, 248.371, 488.909, 675.11, 706.56, 586.445, 452.89, 187.93, 31.565, 0, 0, 0, 0, 0, 0, 0, 3417.14, 142, 706.56, 31.565, 706.56, 0, 
예천태양광, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
여수태양광, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 600, 600, 25, 600, 600, 600, 0, 
영흥태양광, 2, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 6.749, 115.705, 367.364, 523.566, 568.884, 474.392, 419.432, 300.834, 223.697, 21.213, 0, 0, 0, 0, 0, 0, 0, 3021.836, 126, 568.88, 6.749, 568.884, 0, 
탑선태양광, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1012.2, 1012.2, 42, 1012.2, 1012.2, 1012.2, 0, 
탑선태양광, 3, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 653, 653, 27, 653, 653, 653, 0, 
경상대태양광, 1, 2023-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 8.28, 128.52, 294.048, 420.984, 490.248, 505.728, 476.928, 400.608, 236.952, 53.136, 0.288, 0, 0, 0, 0, 0, 0, 3015.72, 126, 505.72, 0.288, 505.728, 0, 
