발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18.432, 20.64, 20.544, 20.832, 21.024, 21.12, 21.312, 188.928, 554.688, 689.28, 551.808, 0, 0, 0, 0, 2128.608, 89, 689.28, 18.432, 689.28, 0, 
삼천포태양광#5, 1, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 2.54, 174.199, 191.158, 192.578, 203.724, 287.532, 215.068, 188.912, 414.035, 2396.647, 2488.857, 688.844, 0, 0, 0, 0, 0, 7444.094, 310, 2488.85, 2.54, 2488.857, 0, 
삼천포태양광#5, 2, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 8.635, 277.206, 300.391, 311.403, 294.674, 426.652, 286.757, 289.313, 726.193, 4113.171, 3799.654, 1733.996, 0, 0, 0, 0, 0, 12568.045, 524, 4113.17, 8.63, 4113.171, 0, 
광양항세방태양광, 1, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 4.8, 204, 429.6, 326.4, 847.2, 384, 429.6, 338.4, 266.4, 88.8, 2.4, 0, 0, 0, 0, 0, 0, 3321.6, 138, 847.2, 2.4, 847.2, 0, 
두산엔진MG태양광, 1, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.54, 4.14, 10.38, 18.96, 30.18, 25.44, 30.24, 13.32, 7.56, 3.48, 0.48, 0, 0, 0, 0, 0, 0, 144.72, 6, 30.24, 0.48, 30.24, 0, 
삼천포태양광, 1, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.024, 5.64, 10.368, 21.228, 23.076, 27.18, 14.028, 4.428, 4.752, 0.972, 0, 0, 0, 0, 0, 0, 0, 111.696, 5, 27.18, 0.024, 27.18, 0, 
삼천포태양광, 2, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 5.28, 73.632, 170.592, 336.192, 354.048, 444.864, 239.808, 98.112, 100.896, 41.856, 2.112, 0, 0, 0, 0, 0, 0, 1867.392, 78, 444.86, 2.112, 444.864, 0, 
삼천포태양광, 3, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.864, 22.356, 53.136, 111.6, 112.248, 141.66, 75.024, 28.944, 30.276, 10.728, 0.108, 0, 0, 0, 0, 0, 0, 586.944, 24, 141.66, 0.108, 141.66, 0, 
삼천포태양광, 4, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 1.201, 75.589, 94.822, 95.359, 93.31, 98.353, 95.13, 88.289, 175.713, 1187.214, 895.793, 0, 0, 0, 0, 0, 0, 2900.773, 121, 1187.21, 1.201, 1187.214, 0, 
구미태양광, 1, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.145, 43.679, 59.01, 150.778, 317.105, 378.212, 387.179, 179.56, 215.501, 178.692, 31.602, 0, 0, 0, 0, 0, 0, 1941.463, 81, 387.17, 0.14, 387.179, 0, 
삼천포태양광#6, 1, 2025-01-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 54.062, 86.021, 86.046, 82.42, 87.495, 86.301, 71.998, 76.554, 509.376, 417.417, 0, 0, 0, 0, 0, 0, 1557.69, 65, 509.37, 54.062, 509.376, 0, 
