발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 12.384, 20.64, 20.64, 21.216, 21.792, 22.656, 22.56, 474.72, 282.336, 490.272, 685.536, 684.672, 283.776, 0, 0, 0, 0, 3043.2, 127, 685.53, 12.38, 685.536, 0, 
삼천포태양광#5, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 56.243, 593.141, 1085.241, 736.205, 498.334, 448.025, 757.736, 2426.898, 1750.39, 721.608, 2482.703, 2488.963, 2516.035, 495.686, 0, 0, 0, 17057.208, 711, 2516.03, 56.243, 2516.035, 0, 
삼천포태양광#5, 2, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 89.989, 1041.593, 1821.989, 1345.485, 1290.494, 1266.938, 1757.882, 4105.469, 2932.316, 1311.21, 3807.878, 3789.709, 3818.69, 642.848, 0, 0, 0, 29022.49, 1209, 4105.46, 89.98, 4105.469, 0, 
광양항세방태양광, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 9.6, 60, 290.4, 367.2, 434.4, 460.8, 408, 350.4, 237.6, 81.6, 0, 0, 0, 0, 0, 0, 0, 2700, 113, 460.8, 9.6, 460.8, 0, 
두산엔진MG태양광, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 3.18, 7.5, 14.4, 20.16, 32.28, 47.16, 48.96, 46.92, 33.06, 19.98, 0.96, 0, 0, 0, 0, 0, 0, 274.56, 11, 48.96, 0.96, 48.96, 0, 
삼천포태양광, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.06, 2.196, 4.824, 11.808, 17.22, 18.084, 17.328, 14.892, 10.512, 4.08, 0, 0, 0, 0, 0, 0, 0, 101.004, 4, 18.08, 0.06, 18.084, 0, 
삼천포태양광, 2, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 17.664, 131.808, 256.416, 516.096, 695.904, 693.696, 631.392, 535.488, 373.92, 154.752, 11.232, 0, 0, 0, 0, 0, 0, 4018.368, 167, 695.9, 11.232, 695.904, 0, 
삼천포태양광, 3, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 4.176, 46.44, 86.184, 175.716, 237.384, 230.076, 213.444, 182.268, 127.368, 40.968, 1.26, 0, 0, 0, 0, 0, 0, 1345.284, 56, 237.38, 1.26, 237.384, 0, 
삼천포태양광, 4, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 11.296, 89.226, 122.033, 134.958, 98.427, 101.004, 793.758, 991.456, 723.645, 1104.975, 1168.339, 1169.44, 177.347, 0, 0, 0, 0, 6685.904, 279, 1169.44, 11.296, 1169.44, 0, 
구미태양광, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.579, 35.869, 217.671, 457.831, 567.534, 586.553, 557.265, 478.731, 344.802, 170.882, 19.019, 0, 0, 0, 0, 0, 0, 3436.736, 143, 586.55, 0.579, 586.553, 0, 
삼천포태양광#6, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
영흥태양광#5, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 120.526, 797.884, 1084.737, 1981.453, 2111.621, 1361.947, 1267.937, 889.484, 303.726, 156.684, 12.053, 0, 0, 0, 0, 0, 0, 10088.052, 420, 2111.62, 12.053, 2111.621, 0, 
영흥태양광 #3, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 62.16, 472.08, 700.56, 1211.28, 1322.64, 896.4, 780.96, 602.16, 211.92, 102.96, 8.4, 0, 0, 0, 0, 0, 0, 6371.52, 265, 1322.64, 8.4, 1322.64, 0, 
영흥태양광 #3, 2, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 31.008, 223.008, 309.312, 547.296, 580.128, 381.888, 351.36, 260.448, 87.264, 42.336, 2.88, 0, 0, 0, 0, 0, 0, 2816.928, 117, 580.12, 2.88, 580.128, 0, 
영흥태양광 #3, 3, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 26.76, 202.32, 325.8, 595.56, 663.12, 427.68, 350.88, 277.32, 92.04, 48.12, 3.84, 0, 0, 0, 0, 0, 0, 3013.44, 126, 663.12, 3.84, 663.12, 0, 
영흥태양광, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 8.179, 114.163, 201.946, 436.877, 539.174, 349.747, 276.864, 226.906, 73.766, 34.253, 2.189, 0, 0, 0, 0, 0, 0, 2264.064, 94, 539.17, 2.189, 539.174, 0, 
예천태양광, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 110.7, 594.54, 956.16, 1176.12, 1275.48, 1272.24, 1169.1, 967.32, 635.04, 218.88, 5.04, 0, 0, 0, 0, 0, 0, 8380.62, 349, 1275.48, 5.04, 1275.48, 0, 
여수태양광, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 713, 713, 30, 713, 713, 713, 0, 
영흥태양광, 2, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 17.356, 154.274, 240.088, 433.895, 486.926, 312.404, 274.8, 207.305, 74.244, 33.747, 2.893, 0, 0, 0, 0, 0, 0, 2237.932, 93, 486.92, 2.893, 486.926, 0, 
탑선태양광, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 582, 582, 24, 582, 582, 582, 0, 
탑선태양광, 3, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 262.8, 262.8, 11, 262.8, 262.8, 262.8, 0, 
경상대태양광, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 7.128, 73.08, 158.256, 376.92, 507.528, 529.488, 497.088, 429.048, 313.848, 139.752, 10.44, 0, 0, 0, 0, 0, 0, 3042.576, 127, 529.48, 7.128, 529.488, 0, 
고흥만 수상태양광, 1, 2025-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 623.7, 9673.944, 30915.78, 38928.12, 43719.144, 44775.108, 41964.888, 34996.836, 24432.156, 10037.748, 751.212, 0, 0, 0, 0, 0, 0, 280818.636, 11701, 44775.1, 623.7, 44775.108, 0, 
영동태양광, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 14.112, 20.544, 20.736, 21.408, 22.368, 41.76, 605.568, 490.08, 347.712, 528.768, 685.728, 684.864, 294.144, 0, 0, 0, 0, 3777.792, 157, 685.72, 14.11, 685.728, 0, 
삼천포태양광#5, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 161.066, 1326.808, 2266.544, 552.097, 675.924, 287.434, 198.285, 316.097, 491.916, 210.266, 2470.148, 2504.17, 2497.364, 455.232, 0, 0, 0, 14413.351, 601, 2504.17, 161.066, 2504.17, 0, 
삼천포태양광#5, 2, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 167.95, 2191.545, 3815.474, 832.437, 1268.304, 473.977, 946.246, 1424.995, 842.935, 440.142, 3772.211, 3811.22, 3791.156, 619.016, 0, 0, 0, 24397.608, 1017, 3815.47, 167.95, 3815.474, 0, 
광양항세방태양광, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 38.4, 144, 314.4, 372, 405.6, 398.4, 309.6, 172.8, 122.4, 40.8, 2.4, 0, 0, 0, 0, 0, 0, 2320.8, 97, 405.6, 2.4, 405.6, 0, 
두산엔진MG태양광, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 2.04, 4.86, 16.62, 31.2, 33.06, 35.76, 35.4, 21.78, 9.54, 3.66, 0.3, 0, 0, 0, 0, 0, 0, 194.22, 8, 35.76, 0.3, 35.76, 0, 
삼천포태양광, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.228, 4.692, 9.732, 14.004, 16.92, 14.04, 11.076, 3.96, 1.8, 0.06, 0, 0, 0, 0, 0, 0, 0, 76.512, 3, 16.92, 0.06, 16.92, 0, 
삼천포태양광, 2, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0.192, 31.104, 249.024, 507.744, 605.184, 694.368, 532.512, 433.632, 207.648, 122.592, 42.048, 3.072, 0, 0, 0, 0, 0, 0, 3429.12, 143, 694.36, 0.192, 694.368, 0, 
삼천포태양광, 3, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 6.984, 105.516, 177.732, 206.46, 234, 175.608, 140.508, 64.548, 37.116, 10.908, 0.324, 0, 0, 0, 0, 0, 0, 1159.704, 48, 234, 0.324, 234, 0, 
삼천포태양광, 4, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 10.737, 91.518, 105.757, 96.386, 118.141, 462.806, 661.917, 362.268, 206.942, 905.048, 1163.808, 1104.106, 0, 0, 0, 0, 0, 5289.434, 220, 1163.8, 10.737, 1163.808, 0, 
구미태양광, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 8.823, 178.982, 364.399, 449.009, 425.217, 367.943, 324.987, 260.337, 147.38, 64.072, 7.81, 0, 0, 0, 0, 0, 0, 2598.959, 108, 449, 7.81, 449.009, 0, 
삼천포태양광#6, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
영흥태양광#5, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 147.042, 800.295, 1349.895, 1648.8, 1622.284, 1342.663, 1173.926, 1002.779, 848.505, 231.411, 12.053, 0, 0, 0, 0, 0, 0, 10179.653, 424, 1648.8, 12.053, 1648.8, 0, 
영흥태양광 #3, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50.16, 4.32, 0, 0, 0, 0, 0, 0, 54.48, 2, 50.16, 4.32, 50.16, 0, 
영흥태양광 #3, 2, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 36.192, 225.504, 375.36, 454.656, 449.376, 374.208, 330.624, 287.04, 250.176, 67.104, 2.112, 0, 0, 0, 0, 0, 0, 2852.352, 119, 454.65, 2.112, 454.656, 0, 
영흥태양광 #3, 3, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 37.8, 236.28, 414.48, 502.56, 503.52, 425.52, 368.52, 293.4, 258.6, 70.8, 3.24, 0, 0, 0, 0, 0, 0, 3114.72, 130, 503.52, 3.24, 503.52, 0, 
영흥태양광, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 14.285, 146.611, 304.589, 394.752, 415.411, 358.886, 313.152, 228.096, 200.41, 56.64, 1.459, 0, 0, 0, 0, 0, 0, 2434.291, 101, 415.41, 1.459, 415.411, 0, 
예천태양광, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 168.66, 611.46, 959.58, 1087.02, 1045.8, 878.04, 711.72, 487.08, 239.4, 80.28, 2.16, 0, 0, 0, 0, 0, 0, 6271.2, 261, 1087.02, 2.16, 1087.02, 0, 
여수태양광, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 564, 564, 24, 564, 564, 564, 0, 
영흥태양광, 2, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 24.105, 159.095, 293.12, 374.114, 374.114, 314.333, 270.943, 222.733, 188.985, 53.996, 2.893, 0, 0, 0, 0, 0, 0, 2278.431, 95, 374.11, 2.893, 374.114, 0, 
탑선태양광, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 591, 591, 25, 591, 591, 591, 0, 
탑선태양광, 3, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 246, 246, 10, 246, 246, 246, 0, 
경상대태양광, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 28.08, 188.784, 349.92, 412.992, 382.392, 369.72, 364.68, 198.36, 112.752, 49.824, 4.032, 0, 0, 0, 0, 0, 0, 2461.536, 103, 412.99, 4.032, 412.992, 0, 
고흥만 수상태양광, 1, 2025-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 1.008, 4358.424, 18983.58, 31459.26, 39684.12, 34405.728, 26861.604, 22062.6, 14081.424, 10151.904, 4231.164, 291.816, 0, 0, 0, 0, 0, 0, 206572.632, 8607, 39684.12, 1.008, 39684.12, 0, 
