발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 73.536, 340.608, 380.832, 40.32, 41.376, 41.376, 41.856, 42.048, 335.136, 586.56, 690.24, 688.32, 372.384, 0, 0, 0, 3674.592, 153, 690.24, 40.32, 690.24, 0, 
삼천포태양광#5, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 75.769, 1231.73, 2265.012, 446.408, 796.284, 945.192, 1794.654, 3076.492, 2510.49, 1605.759, 531.932, 2466.809, 2508.431, 2506.508, 925.532, 0, 0, 23687.002, 987, 3076.49, 75.76, 3076.492, 0, 
삼천포태양광#5, 2, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 86.593, 1940.006, 3787.081, 1088.384, 1707.347, 1956.713, 3256.279, 5144.142, 4207.789, 2701.976, 918.893, 3770.887, 3807.377, 3804.457, 1324.972, 0, 0, 39502.896, 1646, 5144.14, 86.59, 5144.142, 0, 
광양항세방태양광, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 52.8, 415.2, 1046.4, 1519.2, 1814.4, 1972.8, 1934.4, 1725.6, 1394.4, 811.2, 268.8, 7.2, 0, 0, 0, 0, 0, 12962.4, 540, 1972.8, 7.2, 1972.8, 0, 
두산엔진MG태양광, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.3, 2.94, 11.88, 28.5, 42.54, 51.9, 57.06, 57.6, 53.1, 42.36, 21.36, 0, 0, 0, 0, 0, 0, 369.54, 15, 57.6, 0.3, 57.6, 0, 
삼천포태양광, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 1.392, 14.664, 32.232, 44.508, 52.44, 54.612, 51.792, 48.276, 40.98, 26.46, 6.168, 0, 0, 0, 0, 0, 0, 373.524, 16, 54.61, 1.39, 54.612, 0, 
삼천포태양광, 2, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 15.264, 206.208, 496.8, 663.648, 758.592, 785.856, 753.024, 683.616, 546.24, 332.64, 112.224, 1.344, 0, 0, 0, 0, 0, 5355.456, 223, 785.85, 1.34, 785.856, 0, 
삼천포태양광, 3, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 5.94, 102.6, 177.552, 233.928, 269.532, 280.548, 266.364, 240.948, 194.904, 122.616, 39.06, 0.036, 0, 0, 0, 0, 0, 1934.028, 81, 280.54, 0.03, 280.548, 0, 
삼천포태양광, 4, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 346.046, 971.035, 103.337, 207.308, 269.052, 1147.063, 1301.977, 1063.005, 679.991, 213.009, 1197.364, 1172.496, 1171.775, 8.568, 0, 0, 9852.026, 411, 1301.97, 8.56, 1301.977, 0, 
구미태양광, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 13.089, 207.98, 441.633, 593.64, 687.506, 724.821, 695.461, 633.197, 527.037, 354.564, 122.069, 0.145, 0, 0, 0, 0, 0, 5001.142, 208, 724.82, 0.145, 724.821, 0, 
삼천포태양광#6, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 20.927, 147.361, 353.863, 121.168, 81.781, 92.387, 245.701, 683.11, 551.74, 276.275, 81.63, 563.421, 629.792, 629.309, 131.848, 0, 0, 4610.313, 192, 683.11, 20.927, 683.11, 0, 
영흥태양광#5, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 98.832, 236.232, 269.979, 366.4, 573.705, 908.768, 831.632, 764.137, 602.632, 207.305, 91.6, 0, 0, 0, 0, 0, 0, 4951.222, 206, 908.76, 91.6, 908.768, 0, 
영흥태양광 #3, 1, 2023-02-28 00:00:00, 1876.8, 0, 0, 0, 0, 0, 0, 68.64, 179.28, 217.68, 106.8, 88.32, 86.64, 101.52, 93.12, 110.4, 172.8, 85.2, 0, 0, 0, 0, 2164.8, 612, 5964, 249, 2164.8, 68.64, 2164.8, 0, 
영흥태양광 #3, 2, 2023-02-28 00:00:00, 443.52, 0, 0, 0, 0, 0, 0, 19.872, 84.48, 88.224, 57.792, 43.776, 41.184, 51.744, 48.672, 56.736, 68.64, 27.072, 0, 0, 0, 0, 798.72, 295.68, 2126.112, 89, 798.72, 19.872, 798.72, 0, 
영흥태양광 #3, 3, 2023-02-28 00:00:00, 271.2, 0, 0, 0, 0, 0, 0, 9.96, 49.68, 72.96, 53.16, 45.84, 45.6, 46.92, 45.6, 47.52, 50.4, 21.24, 0, 0, 0, 0, 823.2, 0, 1583.28, 66, 823.2, 9.96, 823.2, 0, 
영흥태양광, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 3.494, 44.928, 74.189, 98.15, 152.486, 222.413, 208.013, 195.571, 133.478, 60.134, 22.656, 0, 0, 0, 0, 0, 0, 1215.512, 51, 222.41, 3.494, 222.413, 0, 
예천태양광, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 45.9, 487.8, 968.22, 1288.62, 1494.18, 1583.1, 1577.7, 1462.68, 1218.6, 841.68, 333.54, 9.36, 0, 0, 0, 0, 0, 11311.38, 471, 1583.1, 9.36, 1583.1, 0, 
여수태양광, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 801.9, 801.9, 33, 801.9, 801.9, 801.9, 0, 
영흥태양광, 2, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 22.177, 58.817, 63.638, 89.672, 148.488, 222.733, 214.055, 206.341, 163.916, 57.853, 26.998, 0, 0, 0, 0, 0, 0, 1274.688, 53, 222.73, 22.17, 222.733, 0, 
탑선태양광, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1485, 1485, 62, 1485, 1485, 1485, 0, 
탑선태양광, 3, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 936, 936, 39, 936, 936, 936, 0, 
경상대태양광, 1, 2023-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 40.896, 210.168, 394.704, 539.64, 628.92, 661.608, 651.312, 593.208, 479.808, 303.12, 89.568, 0.576, 0, 0, 0, 0, 0, 4593.528, 191, 661.6, 0.57, 661.608, 0, 
영동태양광, 1, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 65.376, 303.36, 361.248, 37.344, 38.112, 74.976, 874.56, 750.336, 566.784, 579.456, 691.392, 689.184, 657.696, 55.968, 0, 0, 5745.792, 239, 874.56, 37.344, 874.56, 0, 
삼천포태양광#5, 1, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 73.507, 1215.344, 2257.931, 1687.748, 800.614, 975.854, 942.966, 2812.747, 2525.37, 1635.352, 562.841, 2466.02, 2509.389, 2507.04, 936.868, 0, 0, 23909.591, 996, 2812.74, 73.5, 2812.747, 0, 
삼천포태양광#5, 2, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 93.343, 1893.85, 3772.867, 1131.876, 1742.443, 2022.938, 3546.825, 5285.859, 4213.679, 2746.643, 964.87, 3779.51, 3808.831, 3810.033, 1313.993, 0, 0, 40127.56, 1672, 5285.85, 93.34, 5285.859, 0, 
광양항세방태양광, 1, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 60, 381.6, 964.8, 1339.2, 1699.2, 1903.2, 1908, 1785.6, 1466.4, 868.8, 290.4, 9.6, 0, 0, 0, 0, 0, 12676.8, 528, 1908, 9.6, 1908, 0, 
두산엔진MG태양광, 1, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.12, 2.88, 11.7, 28.08, 41.22, 49.74, 55.68, 56.4, 51.96, 41.94, 21.24, 0, 0, 0, 0, 0, 0, 360.96, 15, 56.4, 0.12, 56.4, 0, 
삼천포태양광, 1, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 1.452, 13.62, 32.844, 45.792, 52.236, 54.54, 55.08, 51.312, 42.084, 27.456, 6.636, 0, 0, 0, 0, 0, 0, 383.052, 16, 55.08, 1.452, 55.08, 0, 
삼천포태양광, 2, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 14.304, 199.968, 497.76, 671.136, 760.032, 800.928, 783.744, 699.648, 542.688, 337.056, 118.752, 2.208, 0, 0, 0, 0, 0, 5428.224, 226, 800.92, 2.208, 800.928, 0, 
삼천포태양광, 3, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 4.068, 97.92, 177.372, 233.136, 266.112, 278.748, 274.788, 246.816, 198.504, 127.368, 41.22, 0, 0, 0, 0, 0, 0, 1946.052, 81, 278.74, 4.068, 278.748, 0, 
삼천포태양광, 4, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 345.195, 971.462, 109.074, 224.122, 295.024, 1194.749, 1339.329, 1070.008, 693.038, 222.986, 1197.531, 1172.944, 1172.202, 11.297, 0, 0, 10018.961, 417, 1339.32, 11.29, 1339.329, 0, 
구미태양광, 1, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 13.595, 210.005, 445.971, 606.368, 690.471, 726.123, 709.852, 640.212, 528.484, 344.006, 105.726, 0.072, 0, 0, 0, 0, 0, 5020.885, 209, 726.12, 0.072, 726.123, 0, 
삼천포태양광#6, 1, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 20.302, 138.683, 351.716, 129.517, 80.42, 96.873, 263.444, 701.034, 559.696, 282.151, 85.096, 564.715, 627.884, 626.581, 136.154, 0, 0, 4664.266, 194, 701.03, 20.3, 701.034, 0, 
영흥태양광#5, 1, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 91.6, 805.116, 1687.368, 2386.421, 2805.853, 2986.642, 2969.768, 2728.716, 2212.863, 1525.863, 602.632, 14.463, 0, 0, 0, 0, 0, 20817.305, 867, 2986.64, 14.463, 2986.642, 0, 
영흥태양광 #3, 1, 2023-02-27 00:00:00, 1891.2, 0, 0, 0, 0, 0, 0, 51.84, 618.24, 1381.44, 1505.28, 54.96, 62.16, 1114.56, 2185.44, 1926.24, 1135.2, 303.12, 0, 0, 0, 0, 2167.2, 2301.6, 16698.48, 696, 2301.6, 51.84, 2301.6, 0, 
영흥태양광 #3, 2, 2023-02-27 00:00:00, 441.6, 0, 0, 0, 0, 0, 0, 12.48, 256.512, 571.584, 94.56, 26.496, 387.36, 1042.56, 978.72, 819.744, 567.936, 258.432, 5.184, 0, 0, 0, 798.72, 889.92, 7151.808, 298, 1042.56, 5.184, 1042.56, 0, 
영흥태양광 #3, 3, 2023-02-27 00:00:00, 266.4, 0, 0, 0, 0, 0, 0, 9.48, 203.52, 473.76, 96, 38.76, 37.32, 500.4, 756.36, 639.12, 434.16, 185.88, 0, 0, 0, 0, 886.8, 990, 5517.96, 230, 990, 9.48, 990, 0, 
영흥태양광, 1, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 6.106, 117.005, 366.566, 565.939, 688.896, 767.616, 760.051, 663.552, 552.23, 391.795, 143.539, 3.072, 0, 0, 0, 0, 0, 5026.367, 209, 767.61, 3.072, 767.616, 0, 
예천태양광, 1, 2023-02-27 00:00:00, 0, 0, 0, 0, 0, 0, 0, 43.02, 484.2, 967.14, 1290.6, 1475.1, 1564.92, 1547.28, 1424.7, 1183.68, 800.82, 314.1, 8.64, 0, 0, 0, 0, 0, 11104.2, 463, 1564.92, 8.64, 1564.92, 0, 
