발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 4.512, 20.16, 19.488, 16.8, 16.704, 16.416, 906.432, 916.8, 852.096, 712.608, 626.496, 690.048, 687.744, 662.208, 0, 0, 0, 6148.512, 256, 916.8, 4.512, 916.8, 0, 
삼천포태양광#5, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 17.651, 542.014, 1455.898, 2306.059, 435.597, 713.776, 800.671, 2148.579, 2875.209, 2277.049, 1442.852, 2505.964, 2514.505, 2475.97, 943.397, 0, 0, 0, 23455.191, 977, 2875.2, 17.651, 2875.209, 0, 
삼천포태양광#5, 2, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 34.577, 934.003, 2538.559, 3910.54, 1110.209, 1594.227, 1625.264, 4249.875, 4849.699, 3855.929, 2458.455, 4236.638, 3880.178, 3777.385, 892.227, 0, 0, 0, 39947.765, 1664, 4849.69, 34.57, 4849.699, 0, 
광양항세방태양광, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 19.2, 244.8, 763.2, 1233.6, 1528.8, 1610.4, 1972.8, 1855.2, 1178.4, 621.6, 436.8, 403.2, 79.2, 0, 0, 0, 0, 0, 11947.2, 498, 1972.8, 19.2, 1972.8, 0, 
두산엔진MG태양광, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0.9, 4.26, 9.24, 22.92, 22.68, 22.98, 20.88, 31.44, 33.42, 33.72, 30.84, 11.34, 1.02, 0, 0, 0, 0, 0, 245.64, 10, 33.72, 0.9, 33.72, 0, 
삼천포태양광, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0.036, 4.212, 16.608, 29.34, 39.732, 45.432, 46.524, 48.348, 42.024, 33.816, 19.848, 4.26, 0.048, 0, 0, 0, 0, 0, 330.228, 14, 48.34, 0.036, 48.348, 0, 
삼천포태양광, 2, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 9.216, 113.28, 347.136, 554.688, 687.744, 759.072, 760.128, 777.504, 666.24, 514.848, 318.336, 97.44, 10.848, 0, 0, 0, 0, 0, 5616.48, 234, 777.5, 9.216, 777.504, 0, 
삼천포태양광, 3, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 1.872, 45.288, 118.368, 183.312, 228.78, 252.18, 255.132, 263.556, 223.812, 175.608, 107.964, 29.448, 1.98, 0, 0, 0, 0, 0, 1887.3, 79, 263.55, 1.872, 263.556, 0, 
삼천포태양광, 4, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 5.533, 76.658, 95.757, 102.611, 98.567, 159.004, 1321.853, 1328.341, 1199.2, 982.219, 1178.459, 1184.665, 1183.491, 640.771, 0, 0, 0, 0, 9557.129, 398, 1328.34, 5.53, 1328.341, 0, 
구미태양광, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 1.302, 58.214, 202.412, 397.881, 586.915, 709.635, 674.272, 688.808, 580.913, 438.812, 374.234, 159.095, 26.034, 0, 0, 0, 0, 0, 4898.527, 204, 709.63, 1.302, 709.635, 0, 
삼천포태양광#6, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0.871, 63.653, 86.714, 91.446, 86.978, 85.081, 85.133, 163.773, 503.94, 389.811, 543.642, 634.069, 634.73, 322.146, 0, 0, 0, 0, 3691.987, 154, 634.73, 0.871, 634.73, 0, 
영흥태양광#5, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 26.516, 380.863, 1224.547, 1959.758, 2367.137, 2846.832, 3020.389, 2977, 2711.842, 2058.589, 1267.937, 590.579, 77.137, 0, 0, 0, 0, 0, 21509.126, 896, 3020.38, 26.51, 3020.389, 0, 
영흥태양광 #3, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 283.44, 882.96, 1397.76, 273.6, 253.2, 371.04, 142.56, 1350, 1420.8, 828.48, 2280.48, 2234.16, 1996.8, 0, 0, 0, 0, 13715.28, 571, 2280.48, 142.56, 2280.48, 0, 
영흥태양광 #3, 2, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0.384, 48.576, 43.68, 38.688, 35.808, 311.136, 919.584, 914.208, 841.056, 648.672, 856.512, 882.432, 767.712, 140.16, 0, 0, 0, 0, 6448.608, 269, 919.58, 0.38, 919.584, 0, 
영흥태양광 #3, 3, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 49.56, 52.56, 37.44, 55.92, 69.12, 995.64, 983.88, 891.84, 684, 1006.44, 943.08, 729.24, 0, 0, 0, 0, 0, 6498.72, 271, 1006.44, 37.44, 1006.44, 0, 
영흥태양광, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 1.766, 71.117, 257.395, 469.632, 485.952, 648.461, 757.133, 739.123, 677.875, 513.754, 312.538, 146.88, 13.939, 0, 0, 0, 0, 0, 5095.565, 212, 757.13, 1.766, 757.133, 0, 
예천태양광, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 17.28, 274.86, 678.6, 883.26, 1308.78, 1074.78, 814.5, 634.14, 750.42, 458.82, 347.76, 176.4, 15.12, 0, 0, 0, 0, 0, 7434.72, 310, 1308.78, 15.12, 1308.78, 0, 
여수태양광, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 786.08, 786.08, 33, 786.08, 786.08, 786.08, 0, 
영흥태양광, 2, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 46.434, 47.208, 45.053, 45.549, 46.775, 46.484, 271.196, 563.128, 410.783, 651.971, 687.865, 686.446, 506.88, 0, 0, 0, 0, 4055.772, 169, 687.86, 45.05, 687.865, 0, 
탑선태양광, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1210.8, 1210.8, 50, 1210.8, 1210.8, 1210.8, 0, 
탑선태양광, 3, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 789.6, 789.6, 33, 789.6, 789.6, 789.6, 0, 
경상대태양광, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 3.312, 76.896, 245.808, 415.296, 544.824, 605.304, 631.944, 590.184, 460.728, 438.696, 183.168, 101.88, 17.208, 0, 0, 0, 0, 0, 4315.248, 180, 631.94, 3.312, 631.944, 0, 
고흥만 수상태양광, 1, 2025-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 595.98, 8284.752, 22428.588, 35369.46, 45362.94, 49652.316, 51677.556, 52934.448, 43530.144, 23266.488, 24654.756, 10883.124, 1822.716, 0, 0, 0, 0, 0, 370463.268, 15436, 52934.44, 595.98, 52934.448, 0, 
영동태양광, 1, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 3.456, 20.16, 20.448, 20.064, 18.72, 24.768, 797.184, 625.248, 693.888, 439.008, 658.368, 688.896, 687.936, 688.416, 40.704, 0, 0, 5427.264, 226, 797.18, 3.456, 797.184, 0, 
삼천포태양광#5, 1, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 22.551, 481.29, 1410.574, 1816.376, 870.154, 1011.13, 781.534, 914.197, 1684.125, 1880.996, 971.2, 2458.334, 2488.583, 2480.969, 956.699, 0, 0, 0, 20228.712, 843, 2488.58, 22.551, 2488.583, 0, 
삼천포태양광#5, 2, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 43.813, 835.316, 2449.593, 3142.177, 1437.379, 1063.532, 1101.479, 3138.334, 3595.923, 3188.332, 1671.59, 4237.696, 3877.825, 3780.05, 714.285, 0, 0, 0, 34277.324, 1428, 4237.69, 43.81, 4237.696, 0, 
광양항세방태양광, 1, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 16.8, 247.2, 681.6, 1003.2, 1684.8, 1658.4, 1852.8, 1776, 1442.4, 1173.6, 628.8, 295.2, 62.4, 0, 0, 0, 0, 0, 12523.2, 522, 1852.8, 16.8, 1852.8, 0, 
두산엔진MG태양광, 1, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 1.08, 4.92, 10.2, 24.3, 30, 13.14, 18, 8.88, 15.48, 21.96, 21.54, 10.02, 1.68, 0, 0, 0, 0, 0, 181.2, 8, 30, 1.08, 30, 0, 
삼천포태양광, 1, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 0.156, 4.68, 17.4, 25.02, 41.16, 30.78, 33.288, 36.72, 33.072, 28.836, 13.104, 3.504, 0.036, 0, 0, 0, 0, 0, 267.756, 11, 41.16, 0.036, 41.16, 0, 
삼천포태양광, 2, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 11.328, 111.84, 344.928, 451.008, 711.552, 632.256, 642.048, 690.912, 510.336, 446.688, 231.936, 85.92, 9.984, 0, 0, 0, 0, 0, 4880.736, 203, 711.55, 9.98, 711.552, 0, 
삼천포태양광, 3, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 2.7, 38.808, 118.404, 150.588, 238.752, 219.096, 229.248, 240.264, 167.652, 150.408, 73.62, 24.66, 1.584, 0, 0, 0, 0, 0, 1655.784, 69, 240.26, 1.584, 240.264, 0, 
삼천포태양광, 4, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 8.339, 85.512, 97.691, 115.88, 154.772, 160.626, 787.03, 1264.329, 888.752, 820.394, 1187.16, 1182.835, 1182.416, 407.847, 0, 0, 0, 0, 8343.583, 348, 1264.32, 8.339, 1264.329, 0, 
구미태양광, 1, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 0.145, 66.531, 277.62, 493.555, 634.571, 717.228, 763.655, 742.828, 614.54, 434.979, 286.154, 136.605, 37.677, 0, 0, 0, 0, 0, 5206.088, 217, 763.65, 0.145, 763.655, 0, 
삼천포태양광#6, 1, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 1.288, 57.69, 86.911, 90.224, 90.51, 92.296, 79.39, 85.629, 269.801, 335.854, 549.25, 634.087, 634.345, 260.742, 0, 0, 0, 0, 3268.017, 136, 634.34, 1.288, 634.345, 0, 
영흥태양광#5, 1, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 26.516, 465.232, 1345.074, 2101.979, 2210.453, 1841.642, 3232.516, 3148.147, 2868.526, 2352.674, 1581.305, 696.642, 81.958, 0, 0, 0, 0, 0, 21952.664, 915, 3232.51, 26.51, 3232.516, 0, 
영흥태양광 #3, 1, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 296.16, 904.56, 1406.64, 260.16, 212.16, 305.52, 314.4, 1251.84, 1405.92, 1024.8, 2062.56, 2002.32, 1723.2, 477.6, 175.2, 0, 0, 13823.04, 576, 2062.56, 175.2, 2062.56, 0, 
영흥태양광 #3, 2, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 47.232, 43.104, 36.672, 39.36, 69.12, 987.264, 962.304, 881.76, 729.6, 863.232, 886.176, 771.456, 261.12, 0, 0, 0, 0, 6578.4, 274, 987.26, 36.67, 987.264, 0, 
영흥태양광 #3, 3, 2025-03-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 49.32, 52.56, 45.84, 26.04, 261.84, 1064.76, 1039.44, 947.76, 780.6, 1013.76, 969.96, 769.68, 72, 0, 0, 0, 0, 7093.56, 296, 1064.76, 26.04, 1064.76, 0, 
