발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 10.08, 20.448, 19.488, 19.104, 19.872, 21.216, 864.384, 749.376, 475.776, 406.944, 692.256, 688.512, 684.576, 547.584, 0, 0, 0, 5219.616, 217, 864.38, 10.08, 864.384, 0, 
삼천포태양광#5, 1, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 22.497, 183.969, 191.005, 190.611, 249.601, 694.969, 1621.529, 1281.928, 940.928, 733.015, 2511.769, 2530.883, 2529.321, 1423.032, 0, 0, 0, 0, 15105.057, 629, 2530.88, 22.49, 2530.883, 0, 
삼천포태양광#5, 2, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 44.501, 289.769, 287.931, 286.941, 702.725, 1354.518, 3955.963, 2196.469, 1683.741, 1318.581, 4252.746, 4260.028, 3931.227, 1364.203, 0, 0, 0, 0, 25929.343, 1080, 4260.02, 44.5, 4260.028, 0, 
광양항세방태양광, 1, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 14.4, 218.4, 648, 1084.8, 1492.8, 1612.8, 1540.8, 880.8, 813.6, 571.2, 439.2, 328.8, 67.2, 0, 0, 0, 0, 0, 9712.8, 405, 1612.8, 14.4, 1612.8, 0, 
두산엔진MG태양광, 1, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0.96, 3.96, 9.9, 21.66, 35.76, 44.1, 49.92, 32.28, 25.02, 18.54, 10.5, 6.54, 2.22, 0, 0, 0, 0, 0, 261.36, 11, 49.92, 0.96, 49.92, 0, 
삼천포태양광, 1, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 1.056, 7.86, 13.956, 20.94, 23.856, 21.732, 9.888, 8.004, 5.28, 2.448, 1.068, 0.036, 0, 0, 0, 0, 0, 116.124, 5, 23.85, 0.036, 23.856, 0, 
삼천포태양광, 2, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 10.752, 111.168, 340.512, 476.256, 657.888, 706.848, 641.664, 315.264, 258.336, 187.296, 108.672, 70.464, 15.648, 0, 0, 0, 0, 0, 3900.768, 163, 706.84, 10.752, 706.848, 0, 
삼천포태양광, 3, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 2.16, 41.832, 113.22, 154.872, 215.964, 231.516, 209.304, 98.676, 80.712, 57.168, 31.932, 19.836, 3.276, 0, 0, 0, 0, 0, 1260.468, 53, 231.51, 2.16, 231.516, 0, 
삼천포태양광, 4, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 4.431, 73.132, 95.086, 95.229, 91.316, 110.056, 419.219, 475.323, 371.448, 307.194, 1180.688, 1188.623, 1185.481, 196.89, 0, 0, 0, 0, 5794.116, 241, 1188.62, 4.43, 1188.623, 0, 
구미태양광, 1, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 1.446, 87.285, 299.604, 490.952, 605.5, 676.08, 677.527, 622.856, 546.49, 348.996, 190.335, 136.605, 34.205, 0, 0, 0, 0, 0, 4717.881, 197, 677.52, 1.446, 677.527, 0, 
삼천포태양광#6, 1, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 1.483, 69.41, 86.106, 84.716, 79.27, 84.152, 286.825, 334.48, 249.196, 179.746, 528.157, 636.57, 636.37, 77.114, 0, 0, 0, 0, 3333.595, 139, 636.57, 1.48, 636.57, 0, 
영흥태양광#5, 1, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 26.516, 414.611, 1185.979, 1976.632, 2545.516, 2846.832, 2972.179, 2916.737, 2591.316, 2179.116, 1419.8, 595.4, 81.958, 0, 0, 0, 0, 0, 21752.592, 906, 2972.17, 26.51, 2972.179, 0, 
영흥태양광 #3, 1, 2024-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 70.32, 72.48, 77.52, 81.36, 90.24, 94.8, 96.96, 91.92, 858, 2320.8, 2325.12, 1448.4, 0, 0, 0, 0, 0, 7627.92, 318, 2325.12, 70.32, 2325.12, 0, 
