발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 2.784, 20.256, 20.64, 20.736, 21.312, 22.176, 214.368, 436.8, 282.432, 501.984, 686.304, 686.112, 272.256, 0, 0, 0, 0, 3188.16, 133, 686.3, 2.784, 686.304, 0, 
삼천포태양광#5, 1, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 19.573, 179.642, 210.217, 601.184, 847.965, 756.741, 524.389, 862.966, 1157.38, 2393.355, 2485.893, 2500.243, 911.016, 0, 0, 0, 0, 13450.564, 560, 2500.24, 19.573, 2500.243, 0, 
삼천포태양광#5, 2, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 31.37, 268.161, 286.157, 646.113, 1057.998, 1151.223, 1262.094, 3698.205, 2014.126, 4079.605, 3792.259, 3804.568, 719.144, 0, 0, 0, 0, 22811.023, 950, 4079.6, 31.37, 4079.605, 0, 
광양항세방태양광, 1, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 4.8, 199.2, 633.6, 976.8, 1185.6, 1231.2, 1144.8, 926.4, 549.6, 177.6, 0, 0, 0, 0, 0, 0, 0, 7029.6, 293, 1231.2, 4.8, 1231.2, 0, 
두산엔진MG태양광, 1, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.66, 3.3, 10.02, 23.34, 33.78, 42, 45.06, 41.34, 30.06, 9.42, 0.18, 0, 0, 0, 0, 0, 0, 239.16, 10, 45.06, 0.18, 45.06, 0, 
삼천포태양광, 1, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 2.736, 8.1, 11.892, 15.348, 17.16, 15.264, 7.656, 6.192, 1.524, 0, 0, 0, 0, 0, 0, 0, 85.872, 4, 17.16, 1.524, 17.16, 0, 
삼천포태양광, 2, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 7.872, 87.168, 368.64, 488.16, 501.984, 548.928, 455.136, 502.848, 240.288, 77.184, 0.768, 0, 0, 0, 0, 0, 0, 3278.976, 137, 548.92, 0.768, 548.928, 0, 
삼천포태양광, 3, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 1.728, 17.208, 73.98, 160.524, 150.372, 159.156, 146.844, 138.564, 37.404, 14.472, 0, 0, 0, 0, 0, 0, 0, 900.252, 38, 160.52, 1.728, 160.524, 0, 
삼천포태양광, 4, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 3.937, 64.317, 94.707, 124.983, 161.445, 172.548, 152.294, 606.229, 509.263, 1170.928, 1172.593, 1151.309, 0, 0, 0, 0, 0, 5384.553, 224, 1172.59, 3.937, 1172.593, 0, 
구미태양광, 1, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.072, 66.169, 275.74, 433.244, 516.407, 536.005, 520.674, 439.101, 300.183, 97.916, 3.327, 0, 0, 0, 0, 0, 0, 3188.838, 133, 536, 0.072, 536.005, 0, 
삼천포태양광#6, 1, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
영흥태양광#5, 1, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 4.821, 190.432, 573.705, 1029.295, 1863.337, 1725.937, 1627.105, 1128.126, 831.632, 200.074, 2.411, 0, 0, 0, 0, 0, 0, 9176.875, 382, 1863.33, 2.411, 1863.337, 0, 
영흥태양광 #3, 1, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 2.16, 147.6, 434.4, 807.36, 1208.16, 964.8, 842.64, 688.32, 464.16, 122.4, 1.2, 0, 0, 0, 0, 0, 0, 5683.2, 237, 1208.16, 1.2, 1208.16, 0, 
영흥태양광 #3, 2, 2025-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 1.152, 48.192, 185.952, 330.72, 503.04, 485.952, 496.032, 335.712, 261.696, 68.064, 0.48, 0, 0, 0, 0, 0, 0, 2716.992, 113, 503.04, 0.48, 503.04, 0, 
