발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.864, 60.096, 259.68, 262.464, 40.608, 41.184, 42.336, 250.56, 509.184, 269.76, 28.128, 353.664, 684.48, 684, 511.584, 0, 0, 3998.592, 167, 684.48, 0.864, 684.48, 0, 
삼천포태양광#5, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 161.638, 1395.534, 2333.55, 389.737, 555.858, 1242.419, 2436.587, 1757.235, 1585.173, 754.328, 21.613, 0, 2472.364, 2492.224, 1198.292, 0, 0, 18796.552, 783, 2492.22, 21.61, 2492.224, 0, 
삼천포태양광#5, 2, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 156.74, 2155.284, 3928.925, 1065.282, 1418.902, 2536.147, 4187.214, 2951.117, 2705.361, 1327.435, 41.626, 0, 3726.888, 3799.035, 1895.603, 0, 0, 31895.559, 1329, 4187.21, 41.62, 4187.214, 0, 
광양항세방태양광, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 88.8, 420, 1003.2, 1440, 1358.4, 1476, 1526.4, 1274.4, 840, 328.8, 28.8, 0, 0, 0, 0, 0, 0, 9784.8, 408, 1526.4, 28.8, 1526.4, 0, 
두산엔진MG태양광, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.9, 3.36, 13.98, 7.38, 5.82, 3.72, 4.98, 11.76, 38.64, 19.8, 0.66, 43.68, 49.62, 44.04, 0, 0, 0, 248.34, 10, 49.62, 0.66, 49.62, 0, 
삼천포태양광, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 3.216, 16.944, 0, 0, 0, 0, 32.292, 25.992, 25.572, 13.296, 0.132, 0, 0, 0, 0, 0, 0, 117.444, 5, 32.29, 0.132, 32.292, 0, 
삼천포태양광, 2, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 21.312, 201.408, 357.696, 478.752, 517.44, 451.872, 347.232, 290.208, 234.816, 100.8, 3.552, 0, 0, 0, 0, 0, 0, 3005.088, 125, 517.44, 3.552, 517.44, 0, 
삼천포태양광, 3, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 4.356, 96.588, 182.448, 224.712, 243.54, 211.104, 164.484, 142.56, 123.192, 48.276, 1.008, 0, 0, 0, 0, 0, 0, 1442.268, 60, 243.54, 1.008, 243.54, 0, 
삼천포태양광, 4, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 436.446, 995.598, 106.548, 127.981, 531.287, 1036.185, 701.409, 661.462, 275.886, 0, 0, 1182.575, 1170.461, 514.633, 0, 0, 7740.471, 323, 1182.57, 106.54, 1182.575, 0, 
구미태양광, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 41.437, 248.549, 424.421, 311.681, 610.562, 548.515, 170.521, 551.625, 118.887, 69.279, 0.434, 0, 0, 0, 0, 0, 0, 3095.911, 129, 610.56, 0.434, 610.562, 0, 
삼천포태양광#6, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 10.286, 82.48, 227.224, 319.585, 435.179, 422.203, 352.269, 292.047, 135.268, 65.919, 1.441, 0, 55.757, 0, 0, 0, 0, 2399.658, 100, 435.17, 1.44, 435.179, 0, 
영흥태양광#5, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 130.168, 843.684, 1571.663, 2070.642, 2299.642, 2261.074, 2109.211, 1764.505, 969.032, 185.611, 14.463, 0, 0, 0, 0, 0, 0, 14219.695, 592, 2299.64, 14.46, 2299.642, 0, 
영흥태양광 #3, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 55.44, 561.12, 1111.68, 1436.16, 1703.28, 1638.24, 1582.56, 1326, 734.16, 134.4, 0, 0, 0, 0, 0, 2076, 2217.6, 14576.64, 607, 2217.6, 55.44, 2217.6, 0, 
영흥태양광 #3, 2, 2022-10-31 00:00:00, 251.52, 0, 0, 0, 0, 0, 0, 31.584, 287.52, 560.928, 84.384, 30.912, 483.84, 766.176, 671.616, 394.848, 72.192, 0, 0, 0, 0, 0, 677.76, 742.08, 5055.36, 211, 766.17, 30.912, 766.176, 0, 
영흥태양광 #3, 3, 2022-10-31 00:00:00, 231.6, 0, 0, 0, 0, 0, 0, 21.24, 236.88, 471.72, 89.04, 42, 40.92, 637.56, 468.72, 337.08, 57, 0, 0, 0, 0, 0, 669.6, 739.2, 4042.56, 168, 739.2, 21.24, 739.2, 0, 
영흥태양광, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 144.077, 360.384, 533.99, 559.565, 473.894, 516.288, 438.182, 251.328, 54.336, 0, 0, 0, 0, 0, 0, 0, 3332.044, 139, 559.56, 54.336, 559.565, 0, 
예천태양광, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 88.92, 239.94, 345.96, 948.24, 513.9, 421.38, 896.94, 643.32, 638.64, 186.12, 19.44, 0, 0, 0, 0, 0, 0, 4942.8, 206, 948.24, 19.44, 948.24, 0, 
여수태양광, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 844.85, 844.85, 35, 844.85, 844.85, 844.85, 0, 
영흥태양광, 2, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 15.427, 134.025, 267.086, 360.615, 403.04, 405.933, 362.543, 310.476, 174.522, 37.604, 1.928, 0, 0, 0, 0, 0, 0, 2473.199, 103, 405.93, 1.928, 405.933, 0, 
탑선태양광, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1688.4, 1688.4, 70, 1688.4, 1688.4, 1688.4, 0, 
탑선태양광, 3, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1071.6, 1071.6, 45, 1071.6, 1071.6, 1071.6, 0, 
경상대태양광, 1, 2022-10-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 56.952, 222.768, 378.432, 490.752, 543.6, 553.68, 537.984, 439.2, 296.352, 106.272, 3.672, 0, 0, 0, 0, 0, 0, 3629.664, 151, 553.68, 3.672, 553.68, 0, 
영동태양광, 1, 2022-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 25.344, 93.024, 107.232, 41.376, 41.664, 41.76, 41.472, 41.472, 44.352, 13.44, 354.144, 677.952, 108.672, 0, 0, 0, 1631.904, 68, 677.95, 13.44, 677.952, 0, 
삼천포태양광#5, 1, 2022-10-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 184.521, 1385.827, 2295.63, 732.168, 714.572, 630.483, 391.836, 181.906, 180.254, 162.529, 5.147, 0, 2494.198, 2505.525, 1519.87, 0, 0, 13384.466, 558, 2505.52, 5.14, 2505.525, 0, 
