발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2022-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 7.968, 107.04, 342.72, 189.888, 39.744, 41.28, 77.184, 190.944, 308.064, 147.552, 184.608, 208.8, 291.648, 491.424, 590.496, 589.44, 137.664, 3946.464, 164, 590.49, 7.968, 590.496, 0, 
삼천포태양광#5, 1, 2022-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 76.036, 945.901, 1957.733, 1236.798, 612.423, 316.953, 342.598, 202.685, 207.277, 324.817, 123.755, 2493.921, 2482.538, 2475.917, 606.144, 0, 0, 14405.496, 600, 2493.92, 76.03, 2493.921, 0, 
삼천포태양광#5, 2, 2022-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 96.973, 1561.95, 3390.514, 3873.162, 4695.242, 4394.121, 3517.343, 293.544, 290.188, 582.109, 206.259, 3538.383, 0, 0, 0, 0, 0, 26439.788, 1102, 4695.24, 96.97, 4695.242, 0, 
광양항세방태양광, 1, 2022-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 62.4, 376.8, 722.4, 1089.6, 1656, 1581.6, 1521.6, 1029.6, 540, 295.2, 122.4, 0, 0, 0, 0, 0, 0, 8997.6, 375, 1656, 62.4, 1656, 0, 
두산엔진MG태양광, 1, 2022-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.9, 4.14, 12.54, 6.48, 5.94, 5.4, 5.1, 5.82, 29.46, 12.42, 6.84, 0, 0, 0, 0, 0, 0, 95.04, 4, 29.46, 0.9, 29.46, 0, 
삼천포태양광, 1, 2022-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 1.416, 14.112, 33.42, 39.324, 46.86, 46.752, 45.192, 24.852, 9.456, 4.764, 0.636, 0, 0, 0, 0, 0, 0, 266.784, 11, 46.86, 0.636, 46.86, 0, 
삼천포태양광, 2, 2022-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 12.096, 146.784, 437.376, 532.032, 585.216, 582.912, 578.112, 340.992, 146.112, 80.736, 24.288, 0, 0, 0, 0, 0, 0, 3466.656, 144, 585.21, 12.096, 585.216, 0, 
삼천포태양광, 3, 2022-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 6.156, 79.632, 159.012, 180.504, 213.588, 200.196, 195.876, 106.416, 44.82, 23.904, 4.788, 0, 0, 0, 0, 0, 0, 1214.892, 51, 213.58, 4.788, 213.588, 0, 
삼천포태양광, 4, 2022-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 285.429, 841.53, 102.38, 121.241, 108.477, 132.859, 548.166, 203.964, 102.583, 96.069, 1164.937, 1158.74, 1129.811, 0, 0, 0, 5996.186, 250, 1164.93, 96.06, 1164.937, 0, 
구미태양광, 1, 2022-02-28 00:00:00, 0, 0, 0, 0, 0, 0, 0, 23.575, 228.879, 300.544, 468.896, 503.607, 563.629, 438.161, 314.357, 256.359, 250.43, 106.16, 0, 0, 0, 0, 0, 0, 3454.597, 144, 563.62, 23.575, 563.629, 0, 
