발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2024-02-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 23.424, 96.192, 94.464, 43.392, 21.024, 21.12, 21.024, 39.744, 182.784, 691.584, 207.936, 0, 0, 0, 0, 0, 1442.688, 60, 691.58, 21.024, 691.584, 0, 
삼천포태양광#5, 1, 2024-02-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 4.683, 69.133, 127.068, 142.641, 168.975, 190.445, 190.584, 188.089, 229.348, 765.444, 14.801, 0, 0, 0, 0, 0, 0, 2091.211, 87, 765.44, 4.683, 765.444, 0, 
삼천포태양광#5, 2, 2024-02-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 12.719, 133.636, 230.872, 256.731, 277.809, 286.236, 287.018, 287.772, 467.757, 1189.468, 29.022, 0, 0, 0, 0, 0, 0, 3459.04, 144, 1189.46, 12.71, 1189.468, 0, 
광양항세방태양광, 1, 2024-02-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 7.2, 76.8, 122.4, 103.2, 175.2, 252, 328.8, 369.6, 292.8, 189.6, 98.4, 2.4, 0, 0, 0, 0, 0, 2018.4, 84, 369.6, 2.4, 369.6, 0, 
두산엔진MG태양광, 1, 2024-02-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.6, 2.7, 4.32, 4.26, 4.56, 5.58, 7.2, 5.64, 3.96, 3.66, 2.52, 0.24, 0, 0, 0, 0, 0, 45.24, 2, 7.2, 0.24, 7.2, 0, 
삼천포태양광, 1, 2024-02-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 0.216, 0.768, 0.876, 1.356, 3.564, 4.836, 3.816, 2.664, 0.984, 0, 0, 0, 0, 0, 0, 0, 19.08, 1, 4.83, 0.21, 4.836, 0, 
삼천포태양광, 2, 2024-02-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 4.416, 24, 37.92, 41.088, 49.728, 80.736, 99.456, 79.296, 67.392, 42.144, 8.928, 0, 0, 0, 0, 0, 0, 535.104, 22, 99.45, 4.416, 99.456, 0, 
삼천포태양광, 3, 2024-02-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.504, 5.544, 10.08, 11.088, 13.788, 23.22, 29.34, 22.86, 18.9, 10.836, 1.26, 0, 0, 0, 0, 0, 0, 147.42, 6, 29.34, 0.504, 29.34, 0, 
삼천포태양광, 4, 2024-02-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.518, 18.335, 38.511, 42.975, 52.951, 88.35, 93.681, 74.604, 90.916, 53.065, 2.167, 0, 0, 0, 0, 0, 0, 556.073, 23, 93.68, 0.518, 93.681, 0, 
구미태양광, 1, 2024-02-29 00:00:00, 0, 0, 0, 0, 0, 0, 0, 2.893, 32.47, 45.921, 67.615, 71.954, 58.07, 58.142, 55.539, 62.481, 39.267, 7.087, 0, 0, 0, 0, 0, 0, 501.439, 21, 71.95, 2.893, 71.954, 0, 
