발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2022-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.576, 13.92, 46.368, 48.384, 38.976, 40.704, 40.032, 41.28, 40.512, 39.648, 35.424, 258.528, 15.84, 0, 0, 0, 0, 660.192, 28, 258.52, 0.57, 258.528, 0, 
삼천포태양광#5, 1, 2022-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 6.229, 178.775, 489.786, 1458.206, 208.655, 253.594, 218.911, 186.603, 321.268, 105.316, 111.778, 56.907, 2527.445, 2513.892, 931.368, 0, 0, 0, 9568.733, 399, 2527.44, 6.22, 2527.445, 0, 
삼천포태양광#5, 2, 2022-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 11.075, 284.207, 849.453, 2215.901, 408.88, 440.026, 360.29, 303.088, 530.791, 174.462, 195.878, 63.23, 3773.166, 3804.81, 2510.84, 0, 0, 0, 15926.097, 664, 3804.81, 11.075, 3804.81, 0, 
광양항세방태양광, 1, 2022-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 24, 304.8, 693.6, 1188, 1425.6, 1742.4, 1471.2, 1281.6, 840, 698.4, 516, 204, 38.4, 0, 0, 0, 0, 0, 10428, 435, 1742.4, 24, 1742.4, 0, 
두산엔진MG태양광, 1, 2022-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 4.26, 11.16, 14.64, 22.32, 36.78, 26.7, 9.18, 9.54, 6.78, 1.44, 0.18, 0, 0, 0, 0, 0, 0, 142.98, 6, 36.78, 0.18, 36.78, 0, 
삼천포태양광, 1, 2022-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 1.608, 9.444, 27.948, 35.4, 26.988, 29.712, 24.828, 5.016, 1.092, 0.948, 0, 0, 0, 0, 0, 0, 0, 162.984, 7, 35.4, 0.948, 35.4, 0, 
삼천포태양광, 2, 2022-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 1.152, 42.816, 141.408, 349.344, 471.36, 466.272, 441.312, 326.976, 86.112, 35.04, 34.56, 6.912, 0, 0, 0, 0, 0, 0, 2403.264, 100, 471.36, 1.152, 471.36, 0, 
삼천포태양광, 3, 2022-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 10.26, 51.372, 134.316, 163.404, 178.776, 152.748, 112.572, 29.412, 6.336, 8.784, 0.828, 0, 0, 0, 0, 0, 0, 848.808, 35, 178.77, 0.828, 178.776, 0, 
삼천포태양광, 4, 2022-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 30.122, 193.409, 362.782, 88.449, 96.671, 95.015, 92.387, 68.841, 17.158, 1.749, 99.389, 1180.597, 883.675, 0, 0, 0, 0, 3210.244, 134, 1180.59, 1.74, 1180.597, 0, 
구미태양광, 1, 2022-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 1.302, 91.913, 165.82, 194.24, 377.922, 296.639, 261.855, 212.464, 118.887, 56.045, 13.595, 0, 0, 0, 0, 0, 0, 1790.682, 75, 377.92, 1.302, 377.922, 0, 
삼천포태양광#6, 1, 2022-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 13.752, 69.233, 158.687, 87.256, 88.237, 86.88, 85.498, 40.508, 8.936, 10.858, 1.897, 0, 349.728, 0, 0, 0, 0, 1001.47, 42, 349.72, 1.89, 349.728, 0, 
영흥태양광#5, 1, 2022-03-31 00:00:00, 0, 0, 0, 0, 0, 0, 9.642, 257.926, 636.379, 860.558, 1272.758, 1713.884, 2212.863, 1668.084, 1342.663, 1145, 564.063, 277.211, 84.368, 0, 0, 0, 0, 0, 12045.399, 502, 2212.86, 9.642, 2212.863, 0, 
