발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2022-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 42.528, 321.12, 268.704, 38.016, 39.36, 42.72, 380.16, 475.488, 276, 370.08, 686.592, 686.112, 504.096, 0, 0, 0, 4130.976, 172, 686.59, 38.016, 686.592, 0, 
삼천포태양광#5, 1, 2022-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 17.113, 395.367, 1546.49, 590.823, 397.46, 477.313, 211.949, 201.173, 189.927, 83.679, 0, 2470.89, 1927.36, 0, 0, 0, 0, 8509.544, 355, 2470.89, 17.11, 2470.89, 0, 
삼천포태양광#5, 2, 2022-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 31.943, 621.646, 2524.58, 829.225, 525.257, 720.033, 287.157, 286.416, 280.368, 155.404, 0, 3739.991, 3760.587, 450.016, 0, 0, 0, 14212.623, 592, 3760.58, 31.94, 3760.587, 0, 
광양항세방태양광, 1, 2022-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 12, 266.4, 789.6, 1200, 1224, 1308, 1096.8, 482.4, 307.2, 127.2, 0, 0, 0, 0, 0, 0, 0, 6813.6, 284, 1308, 12, 1308, 0, 
두산엔진MG태양광, 1, 2022-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 5.4, 13.56, 6.9, 4.74, 4.02, 4.14, 3.24, 3.18, 0.42, 0, 43.14, 47.04, 0, 0, 0, 0, 135.78, 6, 47.04, 0.42, 47.04, 0, 
삼천포태양광, 1, 2022-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 5.664, 23.292, 34.872, 28.452, 27, 18.048, 9.024, 2.688, 0.408, 0, 0, 0, 0, 0, 0, 0, 149.448, 6, 34.87, 0.408, 34.872, 0, 
삼천포태양광, 2, 2022-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 3.168, 79.2, 279.36, 479.136, 400.32, 387.936, 257.28, 144.384, 59.808, 20.64, 0, 0, 0, 0, 0, 0, 0, 2111.232, 88, 479.13, 3.168, 479.136, 0, 
삼천포태양광, 3, 2022-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.072, 5.364, 17.64, 50.328, 37.98, 36.828, 23.58, 12.96, 4.5, 1.152, 0, 0, 0, 0, 0, 0, 0, 190.404, 8, 50.32, 0.072, 50.328, 0, 
삼천포태양광, 4, 2022-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0, 93.025, 588.517, 110.063, 102.958, 107.707, 94.79, 94.206, 72.262, 0.595, 0, 1186.551, 761.603, 0, 0, 0, 0, 3212.277, 134, 1186.55, 0.59, 1186.551, 0, 
구미태양광, 1, 2022-11-30 00:00:00, 0, 0, 0, 0, 0, 0, 0, 0.072, 51.85, 120.84, 300.834, 582.359, 562.906, 610.128, 314.429, 216.152, 70.653, 0, 0, 0, 0, 0, 0, 0, 2830.223, 118, 610.12, 0.072, 610.128, 0, 
