발전구분, 호기, 일자, 1시 발전량(KWh), 2시 발전량(KWh),3시 발전량(KWh),4시 발전량(KWh),5시 발전량(KWh),6시 발전량(KWh),7시 발전량(KWh),8시 발전량(KWh),9시 발전량(KWh),10시 발전량(KWh),11시 발전량(KWh),12시 발전량(KWh),13시 발전량(KWh),14시 발전량(KWh),15시 발전량(KWh),16시 발전량(KWh),17시 발전량(KWh),18시 발전량(KWh),19시 발전량(KWh),20시 발전량(KWh),21시 발전량(KWh),22시 발전량(KWh),23시 발전량(KWh),24시 발전량(KWh),총량(KW),평균(KW),최대(시간별),최소(시간별),최대,최소
영동태양광, 1, 2023-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 1.056, 7.296, 11.136, 21.216, 26.592, 28.224, 60.672, 393.12, 386.016, 400.416, 685.92, 686.496, 682.272, 324, 0, 0, 0, 3714.432, 155, 686.49, 1.056, 686.496, 0, 
삼천포태양광#5, 1, 2023-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 0.723, 135.921, 217.82, 288.251, 190.693, 220.608, 398.691, 526.86, 336.895, 1046.371, 2535.392, 2538.646, 2479.708, 902.501, 0, 0, 0, 0, 11819.08, 492, 2538.64, 0.72, 2538.646, 0, 
삼천포태양광#5, 2, 2023-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 0.964, 225.687, 288.6, 353.919, 285.298, 407.909, 804.681, 716.245, 2883.955, 2111.173, 4319.663, 4145.623, 3806.221, 1248.171, 0, 0, 0, 0, 21598.109, 900, 4319.66, 0.96, 4319.663, 0, 
광양항세방태양광, 1, 2023-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 151.2, 388.8, 796.8, 1231.2, 1656, 1944, 1838.4, 1440, 1060.8, 669.6, 187.2, 33.6, 0, 0, 0, 0, 0, 11397.6, 475, 1944, 33.6, 1944, 0, 
두산엔진MG태양광, 1, 2023-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 0.66, 1.5, 12.66, 18.3, 28.92, 30.66, 35.28, 48.66, 48.9, 25.38, 13.92, 10.62, 1.26, 0, 0, 0, 0, 0, 276.72, 12, 48.9, 0.66, 48.9, 0, 
삼천포태양광, 1, 2023-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 1.524, 7.296, 16.656, 15.42, 12.132, 40.992, 33.312, 32.844, 26.928, 6.456, 1.296, 0, 0, 0, 0, 0, 0, 194.856, 8, 40.99, 1.296, 40.992, 0, 
삼천포태양광, 2, 2023-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 44.256, 124.416, 242.208, 256.896, 222.048, 567.456, 405.408, 332.064, 267.744, 103.2, 33.216, 0, 0, 0, 0, 0, 0, 2598.912, 108, 567.45, 33.216, 567.456, 0, 
삼천포태양광, 3, 2023-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 13.644, 44.172, 89.316, 91.98, 89.82, 214.812, 137.556, 142.416, 115.74, 32.868, 6.228, 0, 0, 0, 0, 0, 0, 978.552, 41, 214.81, 6.228, 214.812, 0, 
삼천포태양광, 4, 2023-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 23.24, 83.372, 97.729, 93.567, 82.205, 98.271, 104.026, 119.447, 428.084, 1200.78, 1182.06, 278.46, 0, 0, 0, 0, 0, 3791.241, 158, 1200.78, 23.24, 1200.78, 0, 
구미태양광, 1, 2023-08-31 00:00:00, 0, 0, 0, 0, 0, 0, 0, 42.883, 147.741, 284.852, 575.055, 430.857, 430.207, 453.348, 249.345, 253.828, 110.932, 53.875, 0.289, 0, 0, 0, 0, 0, 3033.212, 126, 575.05, 0.289, 575.055, 0, 
