tm,stnId,stnNm,ta,hm,ws,wd,rn,pa,ps,ss,icsr,dc10Tca,dc10LmcsCa,ts
2022-02-01 00:00,112,인천,0.3,74,3.6,290,1.9,1014.0,1022.7,,,3,3,-0.4
2022-02-01 01:00,112,인천,-0.2,65,3.0,290,,1014.3,1023.1,,,1,0,-0.6
2022-02-01 02:00,112,인천,-0.3,62,2.3,270,,1014.0,1022.8,,,8,7,-0.5
2022-02-01 03:00,112,인천,-1.3,85,1.8,230,0.2,1013.9,1022.7,,,10,8,-0.5
2022-02-01 04:00,112,인천,-1.6,87,1.7,250,,1013.1,1021.9,,,10,3,-0.4
2022-02-01 05:00,112,인천,-1.7,85,0.9,320,,1013.0,1021.8,,,6,2,-0.6
2022-02-01 06:00,112,인천,-1.6,81,4.0,290,0.9,1013.4,1022.2,,,8,8,-0.6
2022-02-01 07:00,112,인천,-2.0,78,3.1,320,,1013.9,1022.7,,,5,5,-0.6
2022-02-01 08:00,112,인천,-2.1,78,4.0,320,,1014.5,1023.3,0.0,0.0,9,9,-0.5
2022-02-01 09:00,112,인천,-2.1,84,1.9,290,0.1,1014.9,1023.7,0.0,0.09,9,9,-0.4
2022-02-01 10:00,112,인천,-1.4,77,3.1,320,,1015.4,1024.2,0.0,0.27,8,8,-0.3
2022-02-01 11:00,112,인천,-0.7,69,3.4,250,,1015.9,1024.7,0.7,0.53,3,3,-0.2
2022-02-01 12:00,112,인천,-0.4,69,4.8,290,0.0,1016.2,1025.0,1.0,0.74,2,2,-0.1
2022-02-01 13:00,112,인천,-0.1,70,3.5,290,,1016.3,1025.1,0.6,0.77,6,6,-0.1
2022-02-01 14:00,112,인천,-0.1,65,4.1,290,,1016.3,1025.1,0.6,0.92,7,7,-0.1
2022-02-01 15:00,112,인천,0.6,59,3.9,320,,1016.6,1025.4,0.6,0.94,8,8,-0.1
2022-02-01 16:00,112,인천,0.1,66,3.8,320,,1016.9,1025.7,0.8,1.06,2,2,-0.1
2022-02-01 17:00,112,인천,-0.4,67,2.8,290,,1017.4,1026.2,0.5,0.47,1,1,-0.2
2022-02-01 18:00,112,인천,-0.8,71,2.3,290,,1017.9,1026.7,0.0,0.1,2,2,-0.4
2022-02-01 19:00,112,인천,-1.1,73,3.1,270,,1018.6,1027.4,,,7,0,-0.6
2022-02-01 20:00,112,인천,-1.5,76,2.9,290,,1019.0,1027.8,,,5,5,-0.6
2022-02-01 21:00,112,인천,-2.2,77,3.4,270,,1018.9,1027.8,,,3,3,-0.8
2022-02-01 22:00,112,인천,-2.8,71,4.4,290,,1019.2,1028.1,,,2,2,-1.0
2022-02-01 23:00,112,인천,-3.2,74,3.1,290,,1019.6,1028.5,,,1,0,-1.3
2022-02-02 00:00,112,인천,-3.6,75,2.2,320,,1020.2,1029.1,,,0,0,-1.5
2022-02-02 01:00,112,인천,-4.0,73,3.2,320,,1019.5,1028.4,,,1,0,-1.7
2022-02-02 02:00,112,인천,-4.3,73,2.5,320,,1019.6,1028.5,,,1,1,-2.0
2022-02-02 03:00,112,인천,-4.5,72,1.6,360,,1019.7,1028.7,,,4,4,-2.1
2022-02-02 04:00,112,인천,-4.7,72,1.2,360,,1019.6,1028.6,,,8,8,-2.0
2022-02-02 05:00,112,인천,-4.6,71,1.5,340,,1019.4,1028.4,,,9,9,-1.9
2022-02-02 06:00,112,인천,-4.0,68,3.2,340,,1019.6,1028.5,,,8,8,-1.7
2022-02-02 07:00,112,인천,-4.3,69,2.1,290,,1020.2,1029.2,,,7,7,-2.3
2022-02-02 08:00,112,인천,-4.8,70,3.7,320,,1020.7,1029.7,0.0,0.01,3,0,-2.4
2022-02-02 09:00,112,인천,-4.7,67,4.3,320,,1021.1,1030.1,0.9,0.4,0,0,-2.1
2022-02-02 10:00,112,인천,-4.0,58,4.3,320,,1021.1,1030.1,1.0,1.07,2,0,-1.1
2022-02-02 11:00,112,인천,-3.5,53,2.7,290,,1021.4,1030.3,1.0,1.58,3,0,-0.4
2022-02-02 12:00,112,인천,-3.1,44,3.3,270,,1021.2,1030.1,1.0,1.89,2,0,-0.2
2022-02-02 13:00,112,인천,-2.6,47,3.9,290,,1020.5,1029.4,1.0,2.18,2,0,-0.1
2022-02-02 14:00,112,인천,-2.1,48,3.4,290,,1019.9,1028.8,1.0,2.16,0,0,0.1
2022-02-02 15:00,112,인천,-1.6,47,3.1,320,,1019.6,1028.5,1.0,1.87,0,0,1.6
2022-02-02 16:00,112,인천,-1.3,46,2.4,320,,1019.4,1028.2,1.0,1.46,0,0,1.3
2022-02-02 17:00,112,인천,-1.5,44,2.3,290,,1019.2,1028.0,1.0,0.81,0,0,-0.2
2022-02-02 18:00,112,인천,-2.5,49,2.4,320,,1019.0,1027.9,0.7,0.2,0,0,-1.3
2022-02-02 19:00,112,인천,-2.8,52,2.0,250,,1018.8,1027.7,,,0,0,-2.3
2022-02-02 20:00,112,인천,-2.5,52,1.6,230,,1018.5,1027.4,,,8,8,-1.7
2022-02-02 21:00,112,인천,-2.3,56,2.9,250,,1018.7,1027.6,,,2,2,-2.8
2022-02-02 22:00,112,인천,-2.3,63,2.7,250,,1018.8,1027.7,,,0,0,-3.3
2022-02-02 23:00,112,인천,-2.0,69,2.8,250,,1018.4,1027.3,,,2,0,-3.4
2022-02-03 00:00,112,인천,-1.5,72,2.9,250,,1018.3,1027.1,,,3,3,-2.6
2022-02-03 01:00,112,인천,-2.2,73,3.7,320,,1018.0,1026.9,,,0,0,-3.8
2022-02-03 02:00,112,인천,-3.1,71,3.6,340,,1018.3,1027.2,,,0,0,-4.3
2022-02-03 03:00,112,인천,-3.8,68,3.9,290,,1018.6,1027.5,,,0,0,-4.7
2022-02-03 04:00,112,인천,-4.7,65,2.4,20,,1018.3,1027.3,,,0,0,-5.3
2022-02-03 05:00,112,인천,-5.2,62,2.6,20,,1018.1,1027.1,,,0,0,-5.6
2022-02-03 06:00,112,인천,-5.6,62,3.1,20,,1018.4,1027.4,,,0,0,-5.8
2022-02-03 07:00,112,인천,-5.7,61,2.3,340,,1018.9,1027.9,,,0,0,-6.0
2022-02-03 08:00,112,인천,-5.9,61,1.8,20,,1019.3,1028.3,0.0,0.01,0,0,-6.0
2022-02-03 09:00,112,인천,-4.5,60,2.0,320,,1019.7,1028.7,0.9,0.4,0,0,-4.0
2022-02-03 10:00,112,인천,-3.6,58,2.2,290,,1019.9,1028.8,1.0,1.05,0,0,-0.4
2022-02-03 11:00,112,인천,-3.0,50,3.4,290,,1020.2,1029.1,1.0,1.67,0,0,1.1
2022-02-03 12:00,112,인천,-2.5,40,2.8,290,,1020.0,1028.9,1.0,2.05,0,0,3.5
2022-02-03 13:00,112,인천,-1.8,30,4.8,320,,1018.9,1027.8,1.0,2.26,0,0,4.8
2022-02-03 14:00,112,인천,-1.3,36,3.3,320,,1018.1,1026.9,1.0,2.19,0,0,5.4
2022-02-03 15:00,112,인천,-1.1,36,3.3,290,,1017.9,1026.7,1.0,1.88,0,0,4.5
2022-02-03 16:00,112,인천,-1.0,36,3.9,320,,1017.8,1026.6,1.0,1.48,0,0,1.8
2022-02-03 17:00,112,인천,-1.4,37,5.4,320,,1017.7,1026.5,1.0,0.83,0,0,-0.4
2022-02-03 18:00,112,인천,-2.2,40,4.4,290,,1018.0,1026.9,0.8,0.22,0,0,-2.0
2022-02-03 19:00,112,인천,-2.5,41,4.6,290,,1018.1,1027.0,,,0,0,-2.9
2022-02-03 20:00,112,인천,-2.8,42,3.1,290,,1018.5,1027.4,,,0,0,-3.3
2022-02-03 21:00,112,인천,-3.4,45,3.0,140,,1018.5,1027.4,,,0,0,-3.8
2022-02-03 22:00,112,인천,-3.6,45,2.2,360,,1018.4,1027.3,,,7,0,-4.0
2022-02-03 23:00,112,인천,-3.9,48,2.0,340,,1018.1,1027.0,,,6,0,-4.5
2022-02-04 00:00,112,인천,-3.8,55,3.3,320,,1017.7,1026.6,,,4,0,-4.6
2022-02-04 01:00,112,인천,-4.1,54,2.7,340,,1017.8,1026.7,,,9,9,-3.7
2022-02-04 02:00,112,인천,-4.0,51,2.3,290,,1017.9,1026.8,,,9,9,-3.5
2022-02-04 03:00,112,인천,-4.7,52,1.8,320,,1017.6,1026.5,,,3,3,-5.1
2022-02-04 04:00,112,인천,-5.3,55,0.7,360,,1017.1,1026.1,,,2,2,-5.8
2022-02-04 05:00,112,인천,-5.8,54,0.3,0,,1016.6,1025.6,,,0,0,-6.2
2022-02-04 06:00,112,인천,-5.8,54,0.2,0,,1016.5,1025.5,,,0,0,-6.4
2022-02-04 07:00,112,인천,-5.5,53,1.6,320,,1016.5,1025.5,,,0,0,-6.5
2022-02-04 08:00,112,인천,-5.3,56,2.0,320,,1016.7,1025.6,0.0,0.01,1,0,-6.2
2022-02-04 09:00,112,인천,-4.6,63,3.4,290,,1017.0,1025.9,1.0,0.39,0,0,-4.0
2022-02-04 10:00,112,인천,-4.4,53,3.9,290,,1017.4,1026.3,1.0,0.99,2,0,-0.4
2022-02-04 11:00,112,인천,-3.7,47,3.9,290,,1017.7,1026.6,1.0,1.64,0,0,1.9
2022-02-04 12:00,112,인천,-3.3,45,4.3,290,,1017.3,1026.2,1.0,2.03,0,0,3.8
2022-02-04 13:00,112,인천,-2.2,42,3.4,320,,1016.5,1025.3,1.0,2.25,0,0,5.8
2022-02-04 14:00,112,인천,-2.0,47,6.2,320,,1015.7,1024.5,1.0,2.27,4,4,5.7
2022-02-04 15:00,112,인천,-2.8,47,5.4,290,,1015.4,1024.3,0.4,1.05,6,6,-0.3
2022-02-04 16:00,112,인천,-2.6,49,5.0,290,,1015.3,1024.1,0.6,1.11,7,7,0.2
2022-02-04 17:00,112,인천,-2.8,50,4.7,290,,1015.3,1024.2,0.7,0.58,3,3,-0.8
2022-02-04 18:00,112,인천,-3.6,46,5.6,270,0.0,1015.2,1024.1,0.1,0.12,1,1,-2.5
