tm,stnId,stnNm,ta,hm,ws,wd,rn,pa,ps,ss,icsr,dc10Tca,dc10LmcsCa,ts
2023-07-01 00:00,112,인천,22.8,89,0.0,0,,995.3,1003.1,,,0,0,23.6
2023-07-01 01:00,112,인천,22.5,90,0.0,0,,995.4,1003.3,,,0,0,23.2
2023-07-01 02:00,112,인천,22.2,90,0.0,0,,995.6,1003.5,,,0,0,22.8
2023-07-01 03:00,112,인천,22.1,90,0.0,0,,995.4,1003.3,,,0,0,22.6
2023-07-01 04:00,112,인천,22.1,91,0.0,0,,995.7,1003.6,,,6,6,22.4
2023-07-01 05:00,112,인천,22.4,92,0.0,0,,995.9,1003.8,,,8,8,22.9
2023-07-01 06:00,112,인천,22.5,92,1.9,320,,996.6,1004.5,0.0,0.04,0,0,22.7
2023-07-01 07:00,112,인천,23.4,92,1.5,360,,997.1,1004.9,0.8,0.44,0,0,23.5
2023-07-01 08:00,112,인천,24.8,88,2.1,50,,997.7,1005.5,1.0,1.09,0,0,25.0
2023-07-01 09:00,112,인천,26.1,83,2.7,140,,998.0,1005.8,1.0,1.76,1,1,27.0
2023-07-01 10:00,112,인천,26.9,79,2.5,320,,998.1,1005.9,0.8,1.89,2,2,28.0
2023-07-01 11:00,112,인천,26.8,81,3.5,230,,998.1,1005.9,0.9,2.8,2,2,32.9
2023-07-01 12:00,112,인천,26.6,80,3.5,230,,998.9,1006.7,1.0,3.32,4,4,36.4
2023-07-01 13:00,112,인천,27.5,78,3.5,250,,998.6,1006.3,1.0,3.48,1,1,38.3
2023-07-01 14:00,112,인천,27.6,76,2.7,230,,998.2,1005.9,1.0,3.43,0,0,39.4
2023-07-01 15:00,112,인천,28.1,73,2.8,250,,997.9,1005.6,1.0,3.16,0,0,38.8
2023-07-01 16:00,112,인천,28.2,70,3.6,250,,997.8,1005.5,1.0,2.71,0,0,36.7
2023-07-01 17:00,112,인천,28.6,70,1.7,270,,997.9,1005.6,1.0,2.1,0,0,35.4
2023-07-01 18:00,112,인천,28.3,69,2.0,250,,998.0,1005.7,1.0,1.39,0,0,31.9
2023-07-01 19:00,112,인천,27.4,72,2.6,250,,998.4,1006.2,1.0,0.69,0,0,28.9
