구분| 일자| 연료코드| 연료명| 연료량
석탄| 202403| 01| 유연탄| 256482
석탄| 202403| 01| 유연탄| 259094
석탄| 202403| 01| 유연탄| 30000
석탄| 202403| 01| 유연탄| 313720
석탄| 202403| 01| 유연탄| 119336
석탄| 202403| 01| 유연탄| 165000
석탄| 202403| 01| 유연탄| 100000
석탄| 202403| 02| 무연탄| 0
기타| 202403| 03| 유류| 4433236
기타| 202403| 04| LNG| 55191.824
기타| 202403| 05| 유기성고형연료| 1853.39
기타| 202403| 06| 우드펠릿| 87563.23
