구분| 일자| 연료코드| 연료명| 연료량
석탄| 202303| 01| 유연탄| 157934
석탄| 202303| 01| 유연탄| 83924
석탄| 202303| 01| 유연탄| 471775
석탄| 202303| 01| 유연탄| 287862
석탄| 202303| 02| 무연탄| 0
기타| 202303| 03| 유류| 2711297
기타| 202303| 04| LNG| 46487.03
기타| 202303| 05| 유기성고형연료| 589.58
기타| 202303| 06| 우드펠릿| 117141.43
