구분| 일자| 연료코드| 연료명| 연료량
석탄| 202301| 01| 유연탄| 78356
석탄| 202301| 01| 유연탄| 222367
석탄| 202301| 01| 유연탄| 336290
석탄| 202301| 01| 유연탄| 72220
석탄| 202301| 01| 유연탄| 459750
석탄| 202301| 01| 유연탄| 78680
석탄| 202301| 02| 무연탄| 0
기타| 202301| 03| 유류| 2228362
기타| 202301| 04| LNG| 92522.519
기타| 202301| 05| 유기성고형연료| 4244.44
기타| 202301| 06| 우드펠릿| 111295.44
