구분| 일자| 연료코드| 연료명| 연료량
석탄| 202307| 01| 유연탄| 234518
석탄| 202307| 01| 유연탄| 228057
석탄| 202307| 01| 유연탄| 308381
석탄| 202307| 01| 유연탄| 156100
석탄| 202307| 01| 유연탄| 156250
석탄| 202307| 01| 유연탄| 126143
석탄| 202307| 01| 유연탄| 172918
석탄| 202307| 02| 무연탄| 0
기타| 202307| 03| 유류| 5603810
기타| 202307| 04| LNG| 10766.328
기타| 202307| 05| 유기성고형연료| 2732.27
기타| 202307| 06| 우드펠릿| 52052.1
