구분| 일자| 연료코드| 연료명| 연료량
석탄| 202504| 01| 유연탄| 159324
석탄| 202504| 01| 유연탄| 176000
석탄| 202504| 01| 유연탄| 392769
석탄| 202504| 01| 유연탄| 159500
석탄| 202504| 01| 유연탄| 202359
석탄| 202504| 02| 무연탄| 0
기타| 202504| 03| 유류| 7138834
기타| 202504| 04| LNG| 41116.521
기타| 202504| 05| 유기성고형연료| 1119.7
기타| 202504| 06| 우드펠릿| 79301.42
