구분| 일자| 연료코드| 연료명| 연료량
석탄| 202201| 01| 유연탄| 267900
석탄| 202201| 01| 유연탄| 602495
석탄| 202201| 01| 유연탄| 921940
석탄| 202201| 02| 무연탄| 0
기타| 202201| 03| 유류| 4233837
기타| 202201| 04| LNG| 86813.923
기타| 202201| 05| 유기성고형연료| 3302.89
기타| 202201| 06| 우드펠릿| 67674.03
