구분| 일자| 연료코드| 연료명| 연료량
석탄| 202405| 01| 유연탄| 162277
석탄| 202405| 01| 유연탄| 172358
석탄| 202405| 01| 유연탄| 373333
석탄| 202405| 01| 유연탄| 333501
석탄| 202405| 01| 유연탄| 155712
석탄| 202405| 01| 유연탄| 75000
석탄| 202405| 02| 무연탄| 0
기타| 202405| 03| 유류| 4681262
기타| 202405| 04| LNG| 19091.09
기타| 202405| 05| 유기성고형연료| 1754.67
기타| 202405| 06| 우드펠릿| 64850.55
