구분| 일자| 연료코드| 연료명| 연료량
석탄| 202512| 01| 유연탄| 141561
석탄| 202512| 01| 유연탄| 207382
석탄| 202512| 01| 유연탄| 408670
석탄| 202512| 01| 유연탄| 376518
석탄| 202512| 01| 유연탄| 329943
석탄| 202512| 02| 무연탄| 0
기타| 202512| 03| 유류| 6185752
기타| 202512| 04| LNG| 66854.281
기타| 202512| 05| 유기성고형연료| 5441.87
기타| 202512| 06| 우드펠릿| 75987.38
