구분| 일자| 연료코드| 연료명| 연료량
석탄| 202503| 01| 유연탄| 945779.6
석탄| 202503| 02| 무연탄| 0
기타| 202503| 03| 유류| 1888432
기타| 202503| 04| LNG| 45167.884
기타| 202503| 05| 유기성고형연료| 949.1
기타| 202503| 06| 우드펠릿| 104846.58
