lag_h,autocorr
1,0.8884183517602166
2,0.740976733829549
3,0.6088323318364544
4,0.509067346625122
5,0.44863885899445555
6,0.42166844216166577
7,0.4296931755882323
8,0.4721076821123863
9,0.5615645665218569
10,0.739220789241566
11,0.0
12,0.0
