hour,dsr_mean,zenith_center,ta,hm,ws,rn
9,0.7491283752808969,-0.48677012261810243,0.384705888014068,-0.19221230359018476,-0.003927887341615851,-0.2226036413316228
10,0.6912488757124773,-0.2093926570582823,0.15961564294572728,-0.3935858447873224,0.03809450651158839,-0.28399343001908633
11,0.6528325551842287,-0.042669126001141366,0.039802547348943146,-0.4967958599804609,0.09108424689462338,-0.2376099713195931
12,0.6253053721165961,0.029170478611937646,-0.005172887564270026,-0.5334032641251494,0.12547179986238421,-0.18045141614116322
13,0.6212396407330509,0.03832824203943789,-0.004470828078158088,-0.5498365398901089,0.17024038753035686,-0.18863569080272682
14,0.6415153065750936,0.010968823650262284,0.02057067546346296,-0.5558964210427471,0.19406195062839215,-0.24749383372643136
15,0.6864162906272283,-0.05764782955659595,0.07012565071989081,-0.559265646168313,0.22752730587095832,-0.23910411157573236
16,0.7085611615117842,-0.1809487700148663,0.14715581644630188,-0.5197548930446861,0.24013277877738906,-0.19520379119471756
