group,n_features,R2_linear,R2_RF
① zenith only,1,0.054278277265078057,0.23049954108491366
② + dsr (GK-2A),2,0.6133297750642559,0.771258334737695
③ + ASOS 기상,6,0.6329162000418875,0.8268956242278798
④ + site OH,14,0.6446006721385356,0.8390179474378274
