site,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
경상대,0.0,0.0,0.0,0.0,0.0,0.0,0.0002660289109210626,0.009361089835767805,0.052478589268145005,0.15824796791039128,0.28267048932861333,0.3778592677371641,0.43249783697873306,0.448242957786425,0.428636291649177,0.37845293884080006,0.2913078924977594,0.1775186449907541,0.07066183534323346,0.015002157759197705,0.0006510678876863695,0.0,0.0,0.0
고흥만수상,0.0,0.0,0.0,0.0,0.0,0.0,0.0005214397166736785,0.013695470557667299,0.07655378599310612,0.20336317572973667,0.3505477763663054,0.46451545195665433,0.5097023860527415,0.522023978041597,0.5042405875179201,0.44766602415289153,0.3389170486122506,0.20025336205220629,0.0789790969939349,0.017200484962933867,0.000992604640936148,0.0,0.0,0.0
광양항세방,0.0,0.0,0.0,0.0,0.0,0.0,0.00035315279030065583,0.011494766326908906,0.05229846811509961,0.1358770464416973,0.23861375096606466,0.33086589516396253,0.38757832202078824,0.4093076864497654,0.40073847876393304,0.35608727002293517,0.27544407175949903,0.17011411294389167,0.0719543411011731,0.017867289246434697,0.0010429815688661672,0.0,0.0,0.0
구미,0.0,0.0,0.0,0.0,0.0,0.0,4.473389858594786e-05,0.0062129487958462225,0.04678097174657534,0.15057962950176756,0.2887892333436938,0.39592224305108453,0.45571070412616,0.4717525612152525,0.4505024432282352,0.39188895213728997,0.30278724594842243,0.1802849586562452,0.06867512999271379,0.01352717634298205,0.0009205707302253646,0.0,0.0,0.0
삼천포,0.0,0.0,0.0,0.0,0.0,0.0,0.0003532774483745656,0.010201999591085668,0.0590908178286649,0.16620529952974852,0.30318903349734466,0.4180588982136804,0.4749536638724187,0.4848251555364859,0.45859466732048176,0.39180718992307456,0.2897577124643722,0.16438109657053543,0.05666893867418554,0.0099129853811027,0.0003500756491515028,0.0,0.0,0.0
영흥,0.0,0.0,0.0,0.0,0.0,0.0,0.000318206983233954,0.008839415794448227,0.05016896835075277,0.1508271051076214,0.2830763427995513,0.3936975086479958,0.4633914560000399,0.49195737652787636,0.4737916189268577,0.4170962177859869,0.32016665900337593,0.19813077499045828,0.082338223135836,0.02118446350672432,0.00329681824189691,1.8678068475693848e-05,1.2321076180212188e-05,0.0
예천,0.0,0.0,0.0,0.0,0.0,0.0,0.00042791638108293347,0.011442152159013022,0.059561185743660046,0.16573478409869774,0.2857734297520661,0.3681067561983471,0.41928532556545584,0.433696993150685,0.416698397260274,0.3719384383561644,0.286418404109589,0.17002886301369863,0.06580664383561645,0.013718527397260274,0.0008347978067169294,0.0,0.0,0.0
창원,0.0,0.0,0.0,0.0,0.0,0.0,0.0008352606297811776,0.011832414161181285,0.03859864792741505,0.09472869596157267,0.19672509183865,0.2795123390030479,0.33168439779398684,0.3540883756900184,0.3686434304914798,0.3753166751113363,0.3571636576975386,0.2756030827488733,0.13600842689138376,0.1296466572441932,0.09730439423590108,0.07485429638854296,0.004451852049387983,0.0
